,node_ID,longitude,latitude,label,is_near_city
746,747,25.75614549999977,54.59457299999983,empty,empty
747,748,22.27213949999978,55.99558799999983,empty,Telsiai
748,749,22.27808949999977,55.99525549999984,empty,Telsiai
749,750,22.280974999999785,55.99463449999985,empty,Telsiai
750,751,22.31837749999977,55.98339399999984,empty,empty
751,752,22.392511999999783,55.97088149999985,empty,empty
752,753,22.397827999999777,55.97072449999985,empty,empty
753,754,22.43313999999978,55.97221599999983,empty,empty
754,755,22.443944499999787,55.97379899999984,empty,empty
755,756,22.45184249999977,55.97553899999983,empty,empty
756,757,22.481691499999783,55.984593999999845,empty,empty
757,758,22.48801249999977,55.98505099999983,empty,empty
758,759,22.496828499999765,55.98372399999983,empty,empty
759,760,22.524680999999788,55.98780849999983,empty,empty
760,761,22.56168999999977,55.98870899999983,empty,empty
761,762,22.577019999999777,55.99030399999984,empty,empty
762,763,21.243806999999777,55.90249449999985,empty,Kretinga
763,764,21.335722499999772,55.92651199999983,empty,empty
764,765,21.408271499999785,55.94533249999984,empty,empty
765,766,21.475455499999786,55.96259299999983,Kulupenai,empty
766,767,23.580573499999787,55.78163149999983,empty,empty
767,768,24.449817499999767,55.75539299999983,empty,empty
768,769,24.489401999999785,55.76567049999983,empty,empty
769,770,24.53518649999978,55.77083599999983,empty,empty
770,771,24.56435099999979,55.77397099999985,empty,empty
771,772,24.588312499999773,55.77508399999985,empty,empty
772,773,24.60624249999978,55.77258349999983,empty,empty
773,774,24.631532499999764,55.76991399999983,empty,empty
774,775,24.650390499999787,55.77074599999983,empty,empty
775,776,24.694357999999767,55.77310999999983,empty,empty
776,777,24.69765499999977,55.77288949999985,empty,empty
777,778,21.36626899999979,55.53891799999983,empty,empty
778,779,21.32207699999978,55.54910749999985,empty,Priekule
779,780,21.316697499999776,55.55183349999984,empty,Priekule
780,781,21.306186999999767,55.56077049999985,Priekule,empty
781,782,21.44212949999977,55.47510899999983,empty,empty
782,783,21.438113499999787,55.47971199999984,empty,empty
783,784,21.434983499999788,55.48471399999983,empty,empty
784,785,21.408349999999785,55.51839349999983,empty,empty
785,786,21.401489999999768,55.52499399999985,empty,empty
786,787,21.381410999999787,55.53495599999982,empty,empty
787,788,21.484357999999787,55.34715749999984,Silute,empty
788,789,21.47051049999979,55.36211649999984,empty,Silute
789,790,21.466059499999773,55.37296799999984,empty,Silute
790,791,21.47248849999977,55.399376499999846,empty,empty
791,792,21.474363499999782,55.42012949999983,empty,empty
792,793,21.47398149999978,55.42168599999982,empty,empty
793,794,21.457269499999768,55.45580799999985,empty,empty
794,795,21.454444999999765,55.46072899999984,empty,empty
795,796,23.79107849999977,55.524970499999824,empty,empty
796,797,23.817222499999787,55.478537499999845,empty,empty
797,798,23.82168349999978,55.462110499999824,empty,empty
798,799,23.82528849999977,55.45664699999983,empty,empty
799,800,23.840661499999783,55.43962449999984,empty,empty
800,801,23.896080999999786,55.37859549999985,empty,empty
801,802,23.902279499999764,55.37197899999984,empty,empty
802,803,23.907251499999774,55.36850599999983,empty,empty
803,804,23.940608999999768,55.35367899999983,empty,empty
804,805,23.950224499999763,55.34789299999983,empty,empty
805,806,23.954985999999764,55.344385499999845,empty,empty
806,807,23.96084499999978,55.33591649999983,empty,Kedainiai
807,808,21.768464999999765,55.19576049999984,empty,empty
808,809,21.717186999999768,55.23024399999983,empty,empty
809,810,21.714098999999777,55.23185199999983,empty,empty
810,811,21.67897599999978,55.24652949999984,empty,empty
811,812,21.654781499999785,55.25731799999983,empty,empty
812,813,21.62513249999978,55.27085399999984,empty,empty
813,814,21.545203999999785,55.31388599999983,empty,empty
814,815,21.53072549999979,55.32330099999984,empty,empty
815,816,21.523958499999765,55.32647449999985,empty,empty
816,817,26.164754999999783,55.33928349999985,Ignalina,empty
817,818,26.153341499999783,55.330572499999846,empty,Ignalina
818,819,26.136699999999763,55.32431499999984,empty,Ignalina
819,820,26.124639499999773,55.31516899999983,empty,empty
820,821,26.092750499999767,55.29023699999985,empty,empty
821,822,26.090303999999776,55.28769449999984,empty,empty
822,823,26.075572999999764,55.26694499999985,empty,empty
823,824,26.059488999999783,55.25580999999983,empty,empty
824,825,26.048025499999767,55.24441249999984,empty,empty
825,826,26.026753499999785,55.23289799999984,empty,empty
826,827,26.023083999999784,55.230335999999824,empty,empty
827,828,26.00634049999977,55.21186699999984,empty,empty
828,829,26.00300299999978,55.20085949999984,empty,empty
829,830,25.99680399999977,55.191084999999845,empty,Svencioneliai
830,831,25.996021499999785,55.18707199999983,empty,Svencioneliai
831,832,25.99762399999977,55.18038049999984,empty,Svencioneliai
