node_ID,node_label,latitude,longitude,country_name,country_IS03
1,Aguas Santas,41.20047949999986,-8.55647350000018,Portugal,PT
2,Agueda,40.577462499999854,-8.448305000000204,Portugal,PT
3,Albufeira-Ferreiras,37.128776499999844,-8.233210000000184,Portugal,PT
4,Alcains,39.91997199999986,-7.4361195000001885,Portugal,PT
5,Alges,38.69833649999987,-9.229525000000194,Portugal,PT
6,Algueirao-Mem Martins,38.79758249999986,-9.341786000000184,Portugal,PT
7,Alhandra,38.923879999999855,-9.011411500000179,Portugal,PT
8,Alhos Vedros,38.651977499999845,-9.027213500000187,Portugal,PT
9,Alverca,38.89023149999986,-9.03388050000018,Portugal,PT
10,Amadora,38.759944999999846,-9.2359280000002,Portugal,PT
11,Aveiro,40.64331999999985,-8.640612000000203,Portugal,PT
12,Azambuja,39.06856249999984,-8.866440000000182,Portugal,PT
13,Baixa da Banheira,38.659459999999854,-9.043834000000203,Portugal,PT
14,Barcelos,41.53675349999986,-8.609079500000178,Portugal,PT
15,Barreiro,38.65240749999987,-9.079563000000178,Portugal,PT
16,Barreiro-A,38.65943499999986,-9.071986500000179,Portugal,PT
17,Barroselas,41.646269999999845,-8.701071000000184,Portugal,PT
18,Beja,38.01798849999986,-7.858153000000186,Portugal,PT
19,Bombarral,39.26506249999986,-9.153361500000187,Portugal,PT
20,Caldas da Rainha,39.406483999999864,-9.140123500000186,Portugal,PT
21,Carcavelos,38.687827999999854,-9.337275500000203,Portugal,PT
22,Carregado,39.00545149999985,-8.953899500000176,Portugal,PT
23,Cascais,38.70084399999985,-9.418242000000191,Portugal,PT
24,Castanheira do Ribatejo,38.98907999999986,-8.965468000000186,Portugal,PT
25,Castelo Branco,39.81811049999985,-7.490650500000186,Portugal,PT
26,Caxias,38.69872199999986,-9.274271500000197,Portugal,PT
27,Cete,41.171947999999844,-8.354418500000179,Portugal,PT
28,Coimbra,40.208728499999864,-8.432277500000197,Portugal,PT
29,Corroios,38.636528499999855,-9.151686500000181,Portugal,PT
30,Covilha,40.27754549999986,-7.496106500000195,Portugal,PT
31,Cruz Quebrada,38.69978899999987,-9.25218750000019,Portugal,PT
32,Cuba,38.16317999999987,-7.8948180000001855,Portugal,PT
33,Darque,41.68020749999985,-8.782011000000182,Portugal,PT
34,Entroncamento,39.46168699999984,-8.4738380000002,Portugal,PT
35,Ermesinde,41.21693549999986,-8.554266000000183,Portugal,PT
36,Estarreja,40.751156999999864,-8.5754565000002,Portugal,PT
37,Estoril,38.70321099999987,-9.398718000000201,Portugal,PT
38,Evora,38.560429999999855,-7.907134000000184,Portugal,PT
39,Famalicao,41.405087999999864,-8.529502500000177,Portugal,PT
40,Faro,37.01831599999986,-7.939706500000199,Portugal,PT
41,Figueira da Foz,40.148536499999864,-8.848326500000184,Portugal,PT
42,Fogueteiro,38.60983199999984,-9.101566500000189,Portugal,PT
43,Foros de Amora,38.62067949999985,-9.128814500000203,Portugal,PT
44,Fundao,40.14137399999984,-7.496374000000202,Portugal,PT
45,Godim,41.166378999999864,-7.798092500000195,Portugal,PT
46,Grandola,38.18177749999987,-8.55457100000018,Portugal,PT
47,Guarda,40.55249449999985,-7.239862500000186,Portugal,PT
48,Guimaraes,41.43506749999986,-8.293864000000184,Portugal,PT
49,Lagos,37.10874449999986,-8.671851000000203,Portugal,PT
50,Lavradio,38.66183599999985,-9.058309000000179,Portugal,PT
51,Leca do Balio,41.208296999999845,-8.629646000000179,Portugal,PT
52,Leiria,39.75654649999984,-8.8278205000002,Portugal,PT
53,Leixoes,41.18970649999986,-8.685279000000179,Portugal,PT
54,Lisboa-Rossio,38.715170999999856,-9.142875000000203,Portugal,PT
55,Lordelo,41.36548049999985,-8.36372400000019,Portugal,PT
56,Malveira,38.92878649999986,-9.257342000000193,Portugal,PT
57,Mangualde,40.58665849999986,-7.760262500000181,Portugal,PT
58,Marinha Grande,39.73679449999986,-8.9261860000002,Portugal,PT
59,Massama-Barcarena,38.751573499999864,-9.284036500000184,Portugal,PT
60,Mealhada,40.375102999999854,-8.453874500000182,Portugal,PT
61,Merces,38.793210499999844,-9.330574500000182,Portugal,PT
62,Messines,37.25532099999987,-8.290388000000178,Portugal,PT
63,Mira Sintra-Melecas,38.789506499999845,-9.312734500000175,Portugal,PT
64,Moita,38.64490299999986,-8.996517000000182,Portugal,PT
65,Monte Abraao,38.755051499999865,-9.26575250000019,Portugal,PT
66,Monte Estoril,38.70351949999986,-9.406528500000178,Portugal,PT
67,Moscavide,38.77785399999985,-9.099415500000191,Portugal,PT
68,Nelas,40.530218999999846,-7.849914500000182,Portugal,PT
69,Oeiras,38.68835999999985,-9.318454000000202,Portugal,PT
70,Olhao,37.03018999999986,-7.840378000000186,Portugal,PT
71,Oliveira de Azemeis,40.84015799999986,-8.481804000000182,Portugal,PT
72,Oliveira do Bairro,40.51008099999984,-8.498704500000201,Portugal,PT
73,Ovar,40.86403949999985,-8.616755000000182,Portugal,PT
74,Paco de Arcos,38.697099999999864,-9.290917000000178,Portugal,PT
75,Pampilhosa,40.33806499999986,-8.431385000000176,Portugal,PT
76,Parede,38.689726499999864,-9.356402000000202,Portugal,PT
77,Paredes,41.203756499999855,-8.324231500000195,Portugal,PT
78,Penafiel,41.217609999999866,-8.294836000000203,Portugal,PT
79,Pinhal Novo,38.63020799999987,-8.912875000000184,Portugal,PT
80,Pombal,39.91686949999985,-8.63026450000018,Portugal,PT
81,Portela de Sintra,38.80224449999986,-9.376667000000197,Portugal,PT
82,Portimao,37.144690499999854,-8.53736600000019,Portugal,PT
83,Povoa,38.85916699999984,-9.064155500000197,Portugal,PT
84,Praca do Quebedo,38.52500549999985,-8.886442500000186,Portugal,PT
85,Regua,41.15856199999985,-7.783592000000198,Portugal,PT
86,Rio Tinto,41.18453949999986,-8.557193500000182,Portugal,PT
87,Rio de Mouro,38.78449449999985,-9.321623500000186,Portugal,PT
88,S. Joao do Estoril,38.70116249999987,-9.385783500000201,Portugal,PT
89,S. Mamede de Infesta,41.190424499999864,-8.614090500000202,Portugal,PT
90,S. Pedro do Estoril,38.69542049999984,-9.371948500000201,Portugal,PT
91,Sacavem,38.795450499999845,-9.09954350000018,Portugal,PT
92,Santa Iria,38.840948499999854,-9.079982500000199,Portugal,PT
93,Santarem,39.242113499999846,-8.67523700000018,Portugal,PT
94,Santo Tirso,41.35084649999985,-8.473255500000192,Portugal,PT
95,Sao Gemil,41.197211999999865,-8.578056500000201,Portugal,PT
96,Sao Joao da Madeira,40.89865549999985,-8.495261000000198,Portugal,PT
97,Sao Romao,41.27793549999984,-8.553769000000187,Portugal,PT
98,Setubal,38.53053699999987,-8.884901500000183,Portugal,PT
99,Sintra,38.798669499999846,-9.386183000000187,Portugal,PT
100,Tavira,37.12094049999985,-7.655693000000184,Portugal,PT
101,Tomar,39.59873549999986,-8.413018500000192,Portugal,PT
102,Torres Vedras,39.092737499999856,-9.254368500000197,Portugal,PT
103,Trofa,41.337337999999846,-8.547636000000182,Portugal,PT
104,Valado,39.58445849999984,-9.0176735000002,Portugal,PT
105,Valenca,42.024747999999846,-8.639399000000196,Portugal,PT
106,Valongo,41.18832949999984,-8.48753050000019,Portugal,PT
107,Vendas Novas,38.679425999999864,-8.4542955000002,Portugal,PT
108,Viana do Castelo,41.69514299999986,-8.831481000000196,Portugal,PT
109,Vila Franca de Xira,38.95567499999984,-8.986016000000177,Portugal,PT
110,Vila Mea,41.24610399999986,-8.18483550000019,Portugal,PT
111,Vila Real de Santo Antonio,37.19905699999987,-7.422677500000191,Portugal,PT
112,Vila das Aves,41.35742549999986,-8.406292500000177,Portugal,PT
113,Vizela,41.37911099999985,-8.312463500000177,Portugal,PT
