,n_step,energy,average_magnetization
198,198.0,-21.0,-0.25
199,199.0,-17.0,-0.625
200,200.0,-13.0,-0.5
201,201.0,-17.0,-0.625
202,202.0,-11.0,-0.375
203,203.0,-13.0,-0.375
204,204.0,-13.0,-0.0625
205,205.0,1.0,-0.25
206,206.0,-17.0,-0.375
207,207.0,-17.0,-0.375
208,208.0,-15.0,-0.4375
209,209.0,-17.0,-0.625
210,210.0,-13.0,-0.5
211,211.0,-13.0,-0.3125
212,212.0,-13.0,-0.125
213,213.0,-1.0,0.0
214,214.0,-5.0,-0.25
215,215.0,-7.0,0.0
216,216.0,-5.0,0.0625
217,217.0,-15.0,0.4375
218,218.0,-9.0,0.375
219,219.0,-7.0,0.3125
220,220.0,-13.0,0.4375
221,221.0,-13.0,0.4375
222,222.0,-9.0,0.1875
223,223.0,-21.0,0.4375
224,224.0,-13.0,0.0
225,225.0,-7.0,0.0625
226,226.0,-11.0,0.0625
227,227.0,-13.0,0.125
228,228.0,-15.0,0.3125
229,229.0,-15.0,0.25
230,230.0,-7.0,0.0625
231,231.0,-13.0,0.375
232,232.0,-13.0,0.3125
233,233.0,-15.0,0.3125
234,234.0,-11.0,0.375
235,235.0,-11.0,0.0625
236,236.0,-15.0,0.3125
237,237.0,-11.0,0.1875
238,238.0,-15.0,0.4375
239,239.0,-17.0,0.5625
240,240.0,-15.0,0.3125
241,241.0,-15.0,0.3125
242,242.0,-13.0,0.375
243,243.0,-7.0,0.125
244,244.0,-17.0,0.375
245,245.0,-19.0,0.5
246,246.0,-13.0,0.4375
247,247.0,-17.0,0.5625
248,248.0,-9.0,0.375
249,249.0,-13.0,0.25
250,250.0,-13.0,0.4375
251,251.0,-17.0,0.6875
252,252.0,-3.0,0.25
253,253.0,-9.0,0.125
254,254.0,-11.0,0.0625
255,255.0,-11.0,0.0625
256,256.0,-15.0,-0.0625
257,257.0,-9.0,0.1875
258,258.0,-3.0,0.125
259,259.0,-7.0,-0.0625
260,260.0,-9.0,0.1875
261,261.0,-5.0,0.1875
262,262.0,-21.0,0.6875
263,263.0,-15.0,0.4375
264,264.0,-9.0,0.1875
265,265.0,-19.0,-0.125
266,266.0,-17.0,-0.125
267,267.0,-5.0,-0.25
268,268.0,-7.0,-0.3125
269,269.0,-7.0,-0.0625
270,270.0,1.0,-0.125
271,271.0,-13.0,-0.1875
272,272.0,-9.0,-0.0625
273,273.0,-9.0,-0.125
274,274.0,-11.0,-0.1875
275,275.0,-15.0,0.125
276,276.0,-13.0,0.25
277,277.0,-13.0,0.3125
278,278.0,-11.0,0.375
279,279.0,-5.0,0.25
280,280.0,-21.0,0.6875
281,281.0,-25.0,0.8125
282,282.0,-17.0,0.5
283,283.0,-19.0,0.3125
284,284.0,-9.0,0.375
285,285.0,-9.0,0.0625
286,286.0,-19.0,-0.0625
287,287.0,-17.0,-0.4375
288,288.0,-17.0,-0.625
289,289.0,-13.0,-0.5
290,290.0,-19.0,-0.4375
291,291.0,-15.0,-0.0625
292,292.0,-19.0,0.25
293,293.0,-9.0,0.1875
294,294.0,-11.0,0.1875
295,295.0,-11.0,-0.1875
296,296.0,-11.0,-0.0625
297,297.0,-7.0,0.3125
298,298.0,-17.0,0.375
299,299.0,-17.0,0.5
300,300.0,-19.0,0.5
301,301.0,-9.0,0.375
302,302.0,-9.0,0.125
303,303.0,1.0,0.125
304,304.0,-7.0,-0.0625
305,305.0,-5.0,0.0
306,306.0,-7.0,-0.3125
307,307.0,-9.0,-0.1875
308,308.0,-13.0,-0.0625
309,309.0,-9.0,-0.4375
310,310.0,-13.0,-0.25
311,311.0,-9.0,0.125
312,312.0,-9.0,-0.1875
313,313.0,-11.0,-0.375
314,314.0,-17.0,-0.4375
315,315.0,-13.0,-0.25
316,316.0,-23.0,-0.5
317,317.0,-9.0,-0.3125
318,318.0,-5.0,-0.25
319,319.0,-17.0,-0.3125
320,320.0,-19.0,-0.25
321,321.0,-17.0,-0.0625
322,322.0,-9.0,-0.25
323,323.0,-19.0,-0.375
324,324.0,-17.0,-0.375
325,325.0,-7.0,-0.3125
326,326.0,-7.0,-0.0625
327,327.0,-13.0,-0.25
328,328.0,-13.0,0.0625
329,329.0,-7.0,-0.125
330,330.0,-9.0,0.0
331,331.0,-19.0,-0.3125
332,332.0,-13.0,-0.1875
333,333.0,-7.0,-0.125
334,334.0,-15.0,-0.5625
335,335.0,-19.0,-0.5625
336,336.0,-11.0,-0.1875
337,337.0,-15.0,-0.3125
338,338.0,-13.0,0.0625
