,n_step,energy,average_magnetization
0,0.0,-9.0,0.1875
1,1.0,-15.0,-0.125
2,2.0,-13.0,-0.4375
3,3.0,-17.0,-0.125
4,4.0,-7.0,0.0625
5,5.0,-15.0,-0.25
6,6.0,-19.0,-0.5
7,7.0,-17.0,-0.375
8,8.0,-21.0,-0.25
9,9.0,-15.0,-0.125
10,10.0,-15.0,-0.1875
11,11.0,-7.0,0.125
12,12.0,-11.0,0.1875
13,13.0,-11.0,0.0625
14,14.0,-11.0,0.375
15,15.0,-11.0,0.3125
16,16.0,-11.0,-0.25
17,17.0,-3.0,-0.1875
18,18.0,-7.0,0.1875
19,19.0,-9.0,0.0
20,20.0,-1.0,0.0625
21,21.0,-15.0,-0.4375
22,22.0,-13.0,-0.0625
23,23.0,-13.0,0.125
24,24.0,-15.0,-0.5
25,25.0,-11.0,-0.3125
26,26.0,-11.0,0.0
27,27.0,-3.0,-0.1875
28,28.0,-13.0,-0.0625
29,29.0,-11.0,0.25
30,30.0,-9.0,-0.1875
31,31.0,-17.0,-0.4375
32,32.0,-17.0,-0.5
33,33.0,-13.0,-0.375
34,34.0,-9.0,-0.25
35,35.0,-11.0,-0.375
36,36.0,-17.0,-0.6875
37,37.0,-17.0,-0.625
38,38.0,-21.0,-0.375
39,39.0,-19.0,-0.5
40,40.0,-11.0,-0.0625
41,41.0,-9.0,-0.1875
42,42.0,-13.0,-0.375
43,43.0,-15.0,-0.5
44,44.0,-19.0,-0.5
45,45.0,-7.0,-0.1875
46,46.0,-1.0,-0.125
47,47.0,-15.0,-0.3125
48,48.0,-17.0,-0.375
49,49.0,-21.0,-0.5
50,50.0,-15.0,-0.5
51,51.0,-11.0,-0.3125
52,52.0,-11.0,-0.5
53,53.0,-11.0,-0.3125
54,54.0,-23.0,0.0625
55,55.0,-19.0,0.125
56,56.0,-21.0,0.0625
57,57.0,-23.0,-0.125
58,58.0,-17.0,0.1875
59,59.0,-15.0,0.0
60,60.0,-13.0,-0.5
61,61.0,-11.0,-0.1875
62,62.0,-11.0,-0.0625
63,63.0,-15.0,-0.375
64,64.0,-19.0,-0.375
65,65.0,-15.0,-0.3125
66,66.0,-13.0,0.1875
67,67.0,-19.0,0.375
68,68.0,-5.0,0.1875
69,69.0,-15.0,0.1875
70,70.0,-7.0,-0.125
71,71.0,-15.0,0.125
72,72.0,-9.0,0.0
73,73.0,-3.0,0.1875
74,74.0,-17.0,0.375
75,75.0,-21.0,0.5
76,76.0,-9.0,0.1875
77,77.0,-15.0,0.125
78,78.0,-13.0,-0.0625
79,79.0,-17.0,0.125
80,80.0,-7.0,0.0625
81,81.0,-15.0,0.3125
82,82.0,-23.0,0.625
83,83.0,-21.0,0.375
84,84.0,-19.0,0.0
85,85.0,-9.0,-0.125
86,86.0,-9.0,-0.375
87,87.0,-19.0,-0.625
88,88.0,-5.0,-0.1875
89,89.0,-7.0,-0.4375
90,90.0,-15.0,-0.375
91,91.0,-9.0,-0.3125
92,92.0,-13.0,-0.3125
93,93.0,-3.0,0.0625
94,94.0,-7.0,0.0
95,95.0,-9.0,0.125
96,96.0,-11.0,-0.0625
97,97.0,-19.0,-0.375
98,98.0,-11.0,-0.0625
99,99.0,-13.0,-0.1875
100,100.0,-17.0,-0.25
101,101.0,-11.0,0.0
102,102.0,-11.0,-0.0625
103,103.0,-21.0,-0.5
104,104.0,-15.0,-0.125
105,105.0,-23.0,-0.625
106,106.0,-23.0,-0.5625
107,107.0,-19.0,-0.0625
108,108.0,-3.0,0.1875
109,109.0,-11.0,-0.125
110,110.0,-9.0,0.125
111,111.0,-9.0,0.4375
112,112.0,-13.0,0.25
113,113.0,-9.0,0.3125
114,114.0,-13.0,0.4375
115,115.0,-15.0,0.125
116,116.0,-17.0,0.5
117,117.0,-15.0,0.3125
118,118.0,-13.0,0.0625
119,119.0,-11.0,0.0
120,120.0,-15.0,-0.3125
121,121.0,-9.0,-0.3125
122,122.0,-9.0,0.0
123,123.0,-7.0,-0.125
124,124.0,-15.0,0.125
125,125.0,-3.0,-0.25
126,126.0,-9.0,-0.0625
127,127.0,-19.0,0.125
128,128.0,-13.0,0.125
129,129.0,-15.0,0.5
130,130.0,-13.0,0.3125
131,131.0,-13.0,0.3125
132,132.0,-13.0,-0.0625
133,133.0,-17.0,0.125
134,134.0,-19.0,0.0625
