,n_step,energy,average_magnetization
199,199.0,-706.0,-0.95
200,200.0,-702.0,-0.945
201,201.0,-746.0,-0.985
202,202.0,-740.0,-0.975
203,203.0,-726.0,-0.975
204,204.0,-712.0,-0.965
205,205.0,-716.0,-0.96
206,206.0,-732.0,-0.98
207,207.0,-752.0,-0.99
208,208.0,-716.0,-0.965
209,209.0,-710.0,-0.96
210,210.0,-720.0,-0.97
211,211.0,-734.0,-0.975
212,212.0,-740.0,-0.985
213,213.0,-728.0,-0.97
214,214.0,-728.0,-0.975
215,215.0,-760.0,-1.0
216,216.0,-748.0,-0.99
217,217.0,-746.0,-0.985
218,218.0,-736.0,-0.975
219,219.0,-732.0,-0.965
220,220.0,-706.0,-0.96
221,221.0,-694.0,-0.95
222,222.0,-700.0,-0.945
223,223.0,-740.0,-0.985
224,224.0,-736.0,-0.98
225,225.0,-718.0,-0.96
226,226.0,-728.0,-0.97
227,227.0,-726.0,-0.96
228,228.0,-734.0,-0.97
229,229.0,-722.0,-0.955
230,230.0,-702.0,-0.94
231,231.0,-714.0,-0.955
232,232.0,-698.0,-0.935
233,233.0,-722.0,-0.955
234,234.0,-704.0,-0.945
235,235.0,-734.0,-0.975
236,236.0,-700.0,-0.935
237,237.0,-706.0,-0.955
238,238.0,-718.0,-0.96
239,239.0,-732.0,-0.975
240,240.0,-716.0,-0.96
241,241.0,-720.0,-0.96
242,242.0,-726.0,-0.975
243,243.0,-688.0,-0.92
244,244.0,-684.0,-0.905
245,245.0,-638.0,-0.875
246,246.0,-656.0,-0.9
247,247.0,-690.0,-0.93
248,248.0,-714.0,-0.95
249,249.0,-712.0,-0.955
250,250.0,-726.0,-0.97
251,251.0,-700.0,-0.945
252,252.0,-686.0,-0.93
253,253.0,-702.0,-0.935
254,254.0,-662.0,-0.895
255,255.0,-698.0,-0.93
256,256.0,-714.0,-0.965
257,257.0,-710.0,-0.95
258,258.0,-720.0,-0.965
259,259.0,-726.0,-0.975
260,260.0,-732.0,-0.97
261,261.0,-740.0,-0.98
262,262.0,-738.0,-0.975
263,263.0,-722.0,-0.945
264,264.0,-732.0,-0.96
265,265.0,-720.0,-0.96
266,266.0,-718.0,-0.96
267,267.0,-716.0,-0.945
268,268.0,-682.0,-0.915
269,269.0,-668.0,-0.9
270,270.0,-662.0,-0.91
271,271.0,-652.0,-0.91
272,272.0,-670.0,-0.92
273,273.0,-672.0,-0.93
274,274.0,-678.0,-0.94
275,275.0,-700.0,-0.945
276,276.0,-672.0,-0.92
277,277.0,-726.0,-0.97
278,278.0,-738.0,-0.98
279,279.0,-736.0,-0.975
280,280.0,-718.0,-0.965
281,281.0,-738.0,-0.985
282,282.0,-748.0,-0.985
283,283.0,-736.0,-0.975
284,284.0,-730.0,-0.975
285,285.0,-730.0,-0.975
286,286.0,-728.0,-0.975
287,287.0,-730.0,-0.98
288,288.0,-708.0,-0.96
289,289.0,-704.0,-0.95
290,290.0,-720.0,-0.965
291,291.0,-708.0,-0.955
292,292.0,-724.0,-0.97
293,293.0,-708.0,-0.96
294,294.0,-708.0,-0.955
295,295.0,-720.0,-0.955
296,296.0,-712.0,-0.95
297,297.0,-718.0,-0.955
298,298.0,-748.0,-0.98
299,299.0,-740.0,-0.985
300,300.0,-724.0,-0.97
301,301.0,-730.0,-0.965
302,302.0,-732.0,-0.975
303,303.0,-726.0,-0.975
304,304.0,-718.0,-0.96
305,305.0,-710.0,-0.945
306,306.0,-726.0,-0.965
307,307.0,-728.0,-0.975
308,308.0,-704.0,-0.955
309,309.0,-692.0,-0.935
310,310.0,-710.0,-0.955
311,311.0,-722.0,-0.955
312,312.0,-690.0,-0.915
313,313.0,-698.0,-0.925
314,314.0,-714.0,-0.965
315,315.0,-704.0,-0.955
316,316.0,-724.0,-0.97
317,317.0,-734.0,-0.975
318,318.0,-736.0,-0.98
319,319.0,-712.0,-0.96
320,320.0,-718.0,-0.965
321,321.0,-742.0,-0.985
322,322.0,-738.0,-0.985
323,323.0,-736.0,-0.98
324,324.0,-736.0,-0.97
325,325.0,-742.0,-0.98
326,326.0,-722.0,-0.965
327,327.0,-702.0,-0.955
328,328.0,-720.0,-0.955
329,329.0,-722.0,-0.96
330,330.0,-734.0,-0.98
331,331.0,-732.0,-0.98
332,332.0,-730.0,-0.965
333,333.0,-710.0,-0.945
334,334.0,-722.0,-0.955
335,335.0,-704.0,-0.945
336,336.0,-688.0,-0.92
337,337.0,-692.0,-0.935
338,338.0,-680.0,-0.915
339,339.0,-690.0,-0.93
340,340.0,-700.0,-0.945
341,341.0,-694.0,-0.925
342,342.0,-698.0,-0.91
343,343.0,-708.0,-0.925
344,344.0,-718.0,-0.95
345,345.0,-744.0,-0.985
346,346.0,-734.0,-0.98
347,347.0,-722.0,-0.97
348,348.0,-724.0,-0.975
349,349.0,-748.0,-0.99
350,350.0,-746.0,-0.99
351,351.0,-748.0,-0.99
352,352.0,-730.0,-0.975
353,353.0,-732.0,-0.975
354,354.0,-734.0,-0.98
355,355.0,-738.0,-0.98
356,356.0,-710.0,-0.96
357,357.0,-740.0,-0.985
358,358.0,-740.0,-0.985
359,359.0,-752.0,-0.995
360,360.0,-742.0,-0.985
361,361.0,-750.0,-0.985
362,362.0,-710.0,-0.95
363,363.0,-720.0,-0.96
364,364.0,-726.0,-0.975
365,365.0,-734.0,-0.98
366,366.0,-730.0,-0.975
367,367.0,-732.0,-0.975
368,368.0,-716.0,-0.94
369,369.0,-710.0,-0.935
370,370.0,-702.0,-0.94
371,371.0,-690.0,-0.945
372,372.0,-722.0,-0.945
373,373.0,-692.0,-0.93
374,374.0,-712.0,-0.95
375,375.0,-704.0,-0.935
376,376.0,-690.0,-0.905
377,377.0,-686.0,-0.895
378,378.0,-690.0,-0.91
379,379.0,-710.0,-0.925
380,380.0,-704.0,-0.9
381,381.0,-698.0,-0.88
382,382.0,-684.0,-0.87
383,383.0,-682.0,-0.875
384,384.0,-712.0,-0.925
385,385.0,-728.0,-0.955
386,386.0,-690.0,-0.915
387,387.0,-708.0,-0.93
388,388.0,-700.0,-0.915
389,389.0,-684.0,-0.885
390,390.0,-668.0,-0.89
391,391.0,-684.0,-0.925
392,392.0,-714.0,-0.96
393,393.0,-722.0,-0.965
394,394.0,-724.0,-0.96
395,395.0,-692.0,-0.93
396,396.0,-682.0,-0.905
397,397.0,-696.0,-0.925
398,398.0,-712.0,-0.955
399,399.0,-700.0,-0.94
400,400.0,-710.0,-0.925
401,401.0,-682.0,-0.91
402,402.0,-680.0,-0.885
403,403.0,-712.0,-0.915
404,404.0,-698.0,-0.905
405,405.0,-698.0,-0.91
406,406.0,-698.0,-0.92
407,407.0,-702.0,-0.91
408,408.0,-690.0,-0.92
409,409.0,-698.0,-0.92
410,410.0,-722.0,-0.95
411,411.0,-748.0,-0.99
412,412.0,-732.0,-0.98
413,413.0,-704.0,-0.955
414,414.0,-728.0,-0.975
415,415.0,-730.0,-0.975
416,416.0,-678.0,-0.935
417,417.0,-708.0,-0.95
418,418.0,-714.0,-0.955
419,419.0,-728.0,-0.975
420,420.0,-752.0,-0.995
421,421.0,-744.0,-0.985
422,422.0,-692.0,-0.945
423,423.0,-738.0,-0.985
424,424.0,-738.0,-0.985
425,425.0,-746.0,-0.99
426,426.0,-728.0,-0.975
427,427.0,-740.0,-0.98
428,428.0,-710.0,-0.955
429,429.0,-730.0,-0.975
430,430.0,-738.0,-0.985
431,431.0,-724.0,-0.97
432,432.0,-726.0,-0.965
433,433.0,-726.0,-0.955
434,434.0,-730.0,-0.97
435,435.0,-734.0,-0.975
436,436.0,-716.0,-0.97
437,437.0,-724.0,-0.97
438,438.0,-726.0,-0.97
439,439.0,-708.0,-0.94
440,440.0,-698.0,-0.94
441,441.0,-734.0,-0.98
442,442.0,-736.0,-0.98
443,443.0,-744.0,-0.99
444,444.0,-694.0,-0.94
445,445.0,-712.0,-0.945
446,446.0,-702.0,-0.95
447,447.0,-686.0,-0.935
448,448.0,-690.0,-0.93
449,449.0,-686.0,-0.925
450,450.0,-684.0,-0.92
451,451.0,-682.0,-0.94
452,452.0,-688.0,-0.94
453,453.0,-728.0,-0.975
454,454.0,-720.0,-0.965
455,455.0,-736.0,-0.98
456,456.0,-744.0,-0.985
457,457.0,-742.0,-0.985
458,458.0,-740.0,-0.985
459,459.0,-686.0,-0.94
460,460.0,-700.0,-0.945
461,461.0,-702.0,-0.93
462,462.0,-682.0,-0.93
463,463.0,-728.0,-0.975
464,464.0,-728.0,-0.965
465,465.0,-734.0,-0.975
466,466.0,-728.0,-0.975
467,467.0,-710.0,-0.96
468,468.0,-716.0,-0.96
469,469.0,-706.0,-0.95
470,470.0,-692.0,-0.94
471,471.0,-722.0,-0.975
472,472.0,-712.0,-0.95
473,473.0,-746.0,-0.99
474,474.0,-722.0,-0.975
475,475.0,-746.0,-0.99
476,476.0,-748.0,-0.99
477,477.0,-722.0,-0.97
478,478.0,-724.0,-0.975
479,479.0,-722.0,-0.97
480,480.0,-718.0,-0.955
481,481.0,-712.0,-0.945
482,482.0,-700.0,-0.935
483,483.0,-728.0,-0.965
484,484.0,-724.0,-0.965
485,485.0,-678.0,-0.93
486,486.0,-692.0,-0.935
487,487.0,-718.0,-0.945
488,488.0,-732.0,-0.975
489,489.0,-734.0,-0.975
490,490.0,-712.0,-0.95
491,491.0,-702.0,-0.915
492,492.0,-708.0,-0.93
493,493.0,-708.0,-0.935
494,494.0,-714.0,-0.93
495,495.0,-696.0,-0.91
496,496.0,-716.0,-0.935
497,497.0,-692.0,-0.92
498,498.0,-680.0,-0.935
499,499.0,-708.0,-0.96
500,500.0,-718.0,-0.97
501,501.0,-698.0,-0.95
502,502.0,-722.0,-0.97
503,503.0,-710.0,-0.965
504,504.0,-686.0,-0.945
505,505.0,-716.0,-0.96
506,506.0,-702.0,-0.94
507,507.0,-720.0,-0.96
508,508.0,-728.0,-0.97
509,509.0,-722.0,-0.97
510,510.0,-726.0,-0.97
511,511.0,-702.0,-0.95
512,512.0,-728.0,-0.965
513,513.0,-718.0,-0.965
514,514.0,-730.0,-0.98
515,515.0,-736.0,-0.985
516,516.0,-738.0,-0.985
517,517.0,-738.0,-0.985
518,518.0,-722.0,-0.95
519,519.0,-738.0,-0.96
520,520.0,-738.0,-0.965
521,521.0,-730.0,-0.96
522,522.0,-726.0,-0.96
523,523.0,-708.0,-0.965
524,524.0,-726.0,-0.97
525,525.0,-752.0,-0.995
526,526.0,-730.0,-0.975
527,527.0,-724.0,-0.965
528,528.0,-732.0,-0.975
529,529.0,-722.0,-0.975
530,530.0,-720.0,-0.965
531,531.0,-720.0,-0.965
532,532.0,-732.0,-0.98
533,533.0,-754.0,-0.995
534,534.0,-738.0,-0.985
535,535.0,-748.0,-0.99
536,536.0,-748.0,-0.99
537,537.0,-744.0,-0.985
538,538.0,-730.0,-0.97
539,539.0,-738.0,-0.975
540,540.0,-712.0,-0.93
541,541.0,-696.0,-0.91
542,542.0,-714.0,-0.95
543,543.0,-728.0,-0.97
544,544.0,-710.0,-0.965
545,545.0,-702.0,-0.96
546,546.0,-704.0,-0.94
547,547.0,-690.0,-0.915
548,548.0,-706.0,-0.94
549,549.0,-734.0,-0.95
550,550.0,-720.0,-0.935
551,551.0,-708.0,-0.935
552,552.0,-692.0,-0.945
553,553.0,-708.0,-0.955
554,554.0,-742.0,-0.98
555,555.0,-732.0,-0.97
556,556.0,-714.0,-0.93
557,557.0,-696.0,-0.945
558,558.0,-720.0,-0.96
559,559.0,-714.0,-0.94
560,560.0,-736.0,-0.96
561,561.0,-716.0,-0.955
562,562.0,-724.0,-0.97
563,563.0,-718.0,-0.96
564,564.0,-732.0,-0.965
565,565.0,-734.0,-0.975
566,566.0,-730.0,-0.98
567,567.0,-708.0,-0.95
568,568.0,-724.0,-0.97
569,569.0,-716.0,-0.95
570,570.0,-730.0,-0.97
571,571.0,-702.0,-0.945
572,572.0,-714.0,-0.965
573,573.0,-722.0,-0.97
574,574.0,-726.0,-0.97
575,575.0,-740.0,-0.98
576,576.0,-702.0,-0.96
577,577.0,-702.0,-0.955
578,578.0,-686.0,-0.945
579,579.0,-710.0,-0.945
580,580.0,-704.0,-0.96
581,581.0,-712.0,-0.94
582,582.0,-708.0,-0.92
583,583.0,-704.0,-0.93
584,584.0,-720.0,-0.945
585,585.0,-716.0,-0.95
586,586.0,-716.0,-0.94
587,587.0,-712.0,-0.93
588,588.0,-708.0,-0.935
589,589.0,-708.0,-0.95
590,590.0,-722.0,-0.97
591,591.0,-740.0,-0.985
592,592.0,-746.0,-0.99
593,593.0,-734.0,-0.98
594,594.0,-700.0,-0.955
595,595.0,-694.0,-0.945
596,596.0,-732.0,-0.97
597,597.0,-730.0,-0.965
598,598.0,-718.0,-0.96
599,599.0,-728.0,-0.975
600,600.0,-738.0,-0.985
601,601.0,-708.0,-0.955
602,602.0,-698.0,-0.94
603,603.0,-718.0,-0.96
604,604.0,-724.0,-0.96
605,605.0,-706.0,-0.945
606,606.0,-700.0,-0.935
607,607.0,-698.0,-0.925
608,608.0,-712.0,-0.96
609,609.0,-686.0,-0.925
610,610.0,-708.0,-0.95
611,611.0,-716.0,-0.965
612,612.0,-704.0,-0.95
613,613.0,-716.0,-0.965
614,614.0,-716.0,-0.965
615,615.0,-696.0,-0.925
616,616.0,-672.0,-0.915
617,617.0,-696.0,-0.93
618,618.0,-716.0,-0.945
619,619.0,-676.0,-0.9
620,620.0,-714.0,-0.94
621,621.0,-716.0,-0.945
622,622.0,-708.0,-0.945
623,623.0,-692.0,-0.94
624,624.0,-730.0,-0.965
625,625.0,-710.0,-0.94
626,626.0,-696.0,-0.92
627,627.0,-698.0,-0.935
628,628.0,-708.0,-0.945
629,629.0,-686.0,-0.935
630,630.0,-690.0,-0.925
631,631.0,-700.0,-0.935
632,632.0,-718.0,-0.96
633,633.0,-674.0,-0.92
634,634.0,-696.0,-0.95
635,635.0,-716.0,-0.96
636,636.0,-704.0,-0.94
637,637.0,-714.0,-0.945
638,638.0,-702.0,-0.93
639,639.0,-706.0,-0.94
640,640.0,-718.0,-0.965
641,641.0,-740.0,-0.985
642,642.0,-702.0,-0.955
643,643.0,-700.0,-0.94
644,644.0,-740.0,-0.985
645,645.0,-732.0,-0.97
646,646.0,-730.0,-0.975
647,647.0,-720.0,-0.965
648,648.0,-728.0,-0.975
649,649.0,-742.0,-0.98
650,650.0,-742.0,-0.98
651,651.0,-750.0,-0.99
652,652.0,-756.0,-0.995
653,653.0,-748.0,-0.99
654,654.0,-718.0,-0.965
655,655.0,-710.0,-0.955
656,656.0,-708.0,-0.96
657,657.0,-738.0,-0.985
658,658.0,-732.0,-0.98
659,659.0,-722.0,-0.97
660,660.0,-726.0,-0.97
661,661.0,-720.0,-0.955
662,662.0,-716.0,-0.955
663,663.0,-730.0,-0.975
664,664.0,-730.0,-0.97
665,665.0,-714.0,-0.96
666,666.0,-744.0,-0.985
667,667.0,-744.0,-0.99
668,668.0,-722.0,-0.965
669,669.0,-708.0,-0.96
670,670.0,-724.0,-0.97
671,671.0,-732.0,-0.975
672,672.0,-706.0,-0.945
673,673.0,-692.0,-0.935
674,674.0,-696.0,-0.93
675,675.0,-738.0,-0.96
676,676.0,-744.0,-0.965
677,677.0,-718.0,-0.955
678,678.0,-722.0,-0.96
679,679.0,-706.0,-0.95
680,680.0,-700.0,-0.935
681,681.0,-712.0,-0.96
682,682.0,-698.0,-0.94
683,683.0,-694.0,-0.945
684,684.0,-698.0,-0.955
685,685.0,-678.0,-0.93
686,686.0,-706.0,-0.945
687,687.0,-710.0,-0.95
688,688.0,-732.0,-0.975
689,689.0,-734.0,-0.975
690,690.0,-732.0,-0.975
691,691.0,-710.0,-0.96
692,692.0,-712.0,-0.955
693,693.0,-692.0,-0.93
694,694.0,-716.0,-0.935
695,695.0,-708.0,-0.93
696,696.0,-706.0,-0.93
697,697.0,-682.0,-0.91
698,698.0,-676.0,-0.89
699,699.0,-714.0,-0.94
700,700.0,-726.0,-0.95
701,701.0,-736.0,-0.955
702,702.0,-698.0,-0.935
703,703.0,-708.0,-0.95
704,704.0,-746.0,-0.985
705,705.0,-722.0,-0.97
706,706.0,-732.0,-0.95
707,707.0,-728.0,-0.965
708,708.0,-722.0,-0.97
709,709.0,-696.0,-0.945
710,710.0,-676.0,-0.93
711,711.0,-702.0,-0.96
712,712.0,-696.0,-0.945
713,713.0,-726.0,-0.97
714,714.0,-744.0,-0.99
715,715.0,-754.0,-0.995
716,716.0,-734.0,-0.98
717,717.0,-732.0,-0.98
718,718.0,-710.0,-0.955
719,719.0,-716.0,-0.965
720,720.0,-720.0,-0.965
721,721.0,-734.0,-0.97
722,722.0,-706.0,-0.955
723,723.0,-704.0,-0.955
724,724.0,-696.0,-0.945
725,725.0,-720.0,-0.97
726,726.0,-720.0,-0.97
727,727.0,-738.0,-0.98
728,728.0,-742.0,-0.985
729,729.0,-734.0,-0.975
730,730.0,-732.0,-0.975
731,731.0,-728.0,-0.975
732,732.0,-712.0,-0.955
733,733.0,-682.0,-0.93
734,734.0,-714.0,-0.965
735,735.0,-730.0,-0.975
736,736.0,-734.0,-0.98
737,737.0,-740.0,-0.985
738,738.0,-722.0,-0.965
739,739.0,-700.0,-0.95
740,740.0,-692.0,-0.94
741,741.0,-710.0,-0.955
742,742.0,-740.0,-0.985
743,743.0,-740.0,-0.985
744,744.0,-744.0,-0.99
745,745.0,-740.0,-0.985
746,746.0,-704.0,-0.96
747,747.0,-732.0,-0.97
748,748.0,-734.0,-0.975
749,749.0,-748.0,-0.99
750,750.0,-716.0,-0.97
751,751.0,-730.0,-0.98
752,752.0,-724.0,-0.975
753,753.0,-718.0,-0.965
754,754.0,-710.0,-0.955
755,755.0,-722.0,-0.96
756,756.0,-718.0,-0.965
757,757.0,-702.0,-0.94
758,758.0,-688.0,-0.91
759,759.0,-680.0,-0.905
760,760.0,-692.0,-0.91
761,761.0,-674.0,-0.895
762,762.0,-702.0,-0.895
763,763.0,-672.0,-0.885
764,764.0,-700.0,-0.93
765,765.0,-712.0,-0.92
766,766.0,-698.0,-0.9
767,767.0,-682.0,-0.885
768,768.0,-676.0,-0.875
769,769.0,-690.0,-0.89
770,770.0,-682.0,-0.9
771,771.0,-670.0,-0.9
772,772.0,-702.0,-0.93
773,773.0,-716.0,-0.93
774,774.0,-720.0,-0.945
775,775.0,-716.0,-0.94
776,776.0,-718.0,-0.94
777,777.0,-702.0,-0.915
778,778.0,-696.0,-0.905
779,779.0,-732.0,-0.945
780,780.0,-710.0,-0.945
781,781.0,-708.0,-0.955
782,782.0,-728.0,-0.975
783,783.0,-754.0,-0.995
784,784.0,-744.0,-0.99
785,785.0,-712.0,-0.97
786,786.0,-738.0,-0.985
787,787.0,-728.0,-0.98
788,788.0,-744.0,-0.985
789,789.0,-738.0,-0.98
790,790.0,-726.0,-0.965
791,791.0,-724.0,-0.97
792,792.0,-682.0,-0.935
793,793.0,-692.0,-0.945
794,794.0,-710.0,-0.965
795,795.0,-678.0,-0.935
796,796.0,-708.0,-0.96
797,797.0,-716.0,-0.965
798,798.0,-692.0,-0.94
799,799.0,-694.0,-0.925
800,800.0,-702.0,-0.955
801,801.0,-720.0,-0.97
802,802.0,-740.0,-0.985
803,803.0,-746.0,-0.99
804,804.0,-744.0,-0.985
805,805.0,-744.0,-0.99
806,806.0,-732.0,-0.98
807,807.0,-724.0,-0.975
808,808.0,-746.0,-0.99
809,809.0,-754.0,-0.995
810,810.0,-728.0,-0.975
811,811.0,-708.0,-0.95
812,812.0,-704.0,-0.945
813,813.0,-702.0,-0.94
814,814.0,-724.0,-0.965
815,815.0,-742.0,-0.975
816,816.0,-698.0,-0.92
817,817.0,-714.0,-0.935
818,818.0,-728.0,-0.945
819,819.0,-724.0,-0.95
820,820.0,-744.0,-0.975
821,821.0,-742.0,-0.98
822,822.0,-740.0,-0.985
823,823.0,-724.0,-0.97
824,824.0,-722.0,-0.97
825,825.0,-690.0,-0.95
826,826.0,-704.0,-0.96
827,827.0,-716.0,-0.965
828,828.0,-718.0,-0.97
829,829.0,-716.0,-0.965
830,830.0,-724.0,-0.97
831,831.0,-710.0,-0.955
832,832.0,-738.0,-0.98
833,833.0,-738.0,-0.98
834,834.0,-734.0,-0.975
835,835.0,-742.0,-0.98
836,836.0,-732.0,-0.975
837,837.0,-708.0,-0.94
838,838.0,-706.0,-0.95
839,839.0,-702.0,-0.95
840,840.0,-740.0,-0.98
841,841.0,-740.0,-0.985
842,842.0,-726.0,-0.97
843,843.0,-724.0,-0.955
844,844.0,-720.0,-0.96
845,845.0,-704.0,-0.93
846,846.0,-698.0,-0.905
847,847.0,-722.0,-0.905
848,848.0,-714.0,-0.92
849,849.0,-712.0,-0.905
850,850.0,-700.0,-0.9
851,851.0,-730.0,-0.935
852,852.0,-718.0,-0.94
853,853.0,-736.0,-0.965
854,854.0,-700.0,-0.955
855,855.0,-712.0,-0.96
856,856.0,-704.0,-0.96
857,857.0,-714.0,-0.96
858,858.0,-716.0,-0.965
859,859.0,-726.0,-0.97
860,860.0,-752.0,-0.99
861,861.0,-724.0,-0.975
862,862.0,-706.0,-0.96
863,863.0,-704.0,-0.96
864,864.0,-710.0,-0.96
865,865.0,-700.0,-0.955
866,866.0,-722.0,-0.975
867,867.0,-708.0,-0.95
868,868.0,-738.0,-0.97
869,869.0,-718.0,-0.96
870,870.0,-720.0,-0.96
871,871.0,-732.0,-0.975
872,872.0,-710.0,-0.945
