,n_step,energy,average_magnetization
205,205.0,-59.0,0.035
206,206.0,-33.0,-0.045
207,207.0,-47.0,-0.015
208,208.0,-53.0,-0.015
209,209.0,-65.0,-0.08
210,210.0,-93.0,0.045
211,211.0,-59.0,0.04
212,212.0,-23.0,-0.035
213,213.0,-23.0,-0.035
214,214.0,-21.0,-0.03
215,215.0,5.0,0.02
216,216.0,-31.0,0.005
217,217.0,-27.0,-0.06
218,218.0,-29.0,-0.105
219,219.0,-55.0,-0.085
220,220.0,-61.0,-0.08
221,221.0,-53.0,-0.09
222,222.0,-53.0,-0.075
223,223.0,-73.0,-0.005
224,224.0,-23.0,-0.08
225,225.0,-7.0,-0.065
226,226.0,-33.0,-0.015
227,227.0,-35.0,0.055
228,228.0,-31.0,0.035
229,229.0,-19.0,0.06
230,230.0,-39.0,0.025
231,231.0,-33.0,0.05
232,232.0,-1.0,0.01
233,233.0,-51.0,-0.05
234,234.0,-31.0,0.025
235,235.0,-61.0,0.045
236,236.0,-65.0,0.005
237,237.0,-99.0,0.035
238,238.0,-81.0,-0.05
239,239.0,-45.0,0.0
240,240.0,-67.0,-0.02
241,241.0,-25.0,0.0
242,242.0,-69.0,0.015
243,243.0,-63.0,-0.005
244,244.0,-19.0,-0.045
245,245.0,-45.0,-0.085
246,246.0,-87.0,-0.035
247,247.0,-45.0,-0.035
248,248.0,-33.0,-0.005
249,249.0,-57.0,0.11
250,250.0,-67.0,0.09
251,251.0,-57.0,0.055
252,252.0,-29.0,0.015
253,253.0,-51.0,0.02
254,254.0,-31.0,-0.005
255,255.0,-81.0,0.06
256,256.0,-15.0,0.11
257,257.0,-35.0,0.045
258,258.0,-33.0,0.01
259,259.0,-35.0,0.025
260,260.0,-81.0,-0.075
261,261.0,-61.0,-0.105
262,262.0,-47.0,-0.08
263,263.0,-35.0,-0.06
264,264.0,-67.0,0.03
265,265.0,-59.0,0.01
266,266.0,-71.0,-0.03
267,267.0,-55.0,-0.085
268,268.0,-43.0,-0.045
269,269.0,-31.0,-0.01
270,270.0,-59.0,0.06
271,271.0,-57.0,0.06
272,272.0,-15.0,0.0
273,273.0,-63.0,0.04
274,274.0,-45.0,0.01
275,275.0,-19.0,0.045
276,276.0,-31.0,0.015
277,277.0,-71.0,0.035
278,278.0,-23.0,-0.045
279,279.0,-47.0,-0.095
280,280.0,-25.0,-0.09
281,281.0,-21.0,-0.035
282,282.0,-53.0,-0.045
283,283.0,-53.0,-0.05
284,284.0,-1.0,-0.04
285,285.0,-37.0,0.08
286,286.0,-85.0,0.165
287,287.0,-29.0,-0.06
288,288.0,-19.0,-0.025
289,289.0,-25.0,0.03
290,290.0,-71.0,-0.03
291,291.0,-17.0,-0.1
292,292.0,-23.0,-0.045
293,293.0,-19.0,0.01
294,294.0,-31.0,0.025
295,295.0,-35.0,-0.015
296,296.0,1.0,-0.02
297,297.0,-53.0,0.115
298,298.0,-19.0,-0.03
299,299.0,-17.0,-0.085
300,300.0,-29.0,-0.085
301,301.0,-11.0,-0.005
302,302.0,-31.0,0.045
303,303.0,-45.0,0.01
304,304.0,-61.0,0.155
305,305.0,-45.0,0.06
306,306.0,-53.0,0.01
307,307.0,-43.0,-0.01
308,308.0,-45.0,-0.01
309,309.0,-53.0,0.045
310,310.0,-29.0,-0.02
311,311.0,-57.0,0.0
312,312.0,-61.0,0.04
313,313.0,-15.0,0.04
314,314.0,-51.0,0.075
315,315.0,-63.0,0.015
316,316.0,-59.0,0.0
317,317.0,-15.0,0.005
318,318.0,-69.0,0.0
319,319.0,-83.0,-0.075
320,320.0,-39.0,0.025
321,321.0,-71.0,0.075
322,322.0,-39.0,0.025
323,323.0,-31.0,0.03
324,324.0,-47.0,0.145
325,325.0,-47.0,-0.065
326,326.0,-47.0,0.04
327,327.0,-61.0,0.04
328,328.0,-27.0,0.01
329,329.0,-21.0,0.035
330,330.0,-53.0,0.025
331,331.0,-75.0,0.07
332,332.0,-35.0,0.01
333,333.0,-63.0,-0.035
334,334.0,-45.0,0.015
335,335.0,-49.0,0.045
336,336.0,-29.0,0.005
337,337.0,-45.0,0.04
338,338.0,-91.0,-0.2
339,339.0,-61.0,-0.02
340,340.0,-69.0,-0.09
341,341.0,-61.0,0.02
342,342.0,-27.0,0.065
343,343.0,-57.0,-0.01
344,344.0,-37.0,-0.06
345,345.0,-69.0,-0.05
346,346.0,-85.0,-0.005
347,347.0,-23.0,-0.06
348,348.0,1.0,-0.03
349,349.0,-29.0,-0.065
350,350.0,-29.0,-0.06
351,351.0,-63.0,-0.065
352,352.0,-35.0,-0.045
353,353.0,-61.0,-0.11
354,354.0,-69.0,-0.15
355,355.0,-61.0,-0.025
356,356.0,-45.0,-0.045
357,357.0,-59.0,-0.03
358,358.0,-45.0,-0.125
359,359.0,-13.0,0.07
360,360.0,-23.0,0.01
361,361.0,-61.0,0.0
362,362.0,-51.0,0.02
363,363.0,-91.0,0.02
364,364.0,-49.0,0.015
365,365.0,-53.0,0.12
366,366.0,-25.0,0.01
367,367.0,-43.0,0.015
368,368.0,-43.0,0.08
369,369.0,-45.0,0.105
370,370.0,-43.0,0.005
371,371.0,-51.0,-0.065
372,372.0,-65.0,-0.03
373,373.0,-77.0,0.1
374,374.0,-29.0,-0.015
375,375.0,-59.0,-0.04
376,376.0,-37.0,-0.01
377,377.0,-39.0,-0.07
378,378.0,-19.0,0.025
379,379.0,-43.0,0.035
380,380.0,-23.0,0.015
381,381.0,-45.0,0.04
382,382.0,-77.0,0.1
383,383.0,-39.0,0.045
384,384.0,-35.0,0.07
385,385.0,-71.0,0.04
386,386.0,-41.0,0.115
387,387.0,-73.0,0.04
388,388.0,-79.0,-0.095
389,389.0,-73.0,-0.095
390,390.0,-15.0,-0.04
391,391.0,5.0,-0.06
392,392.0,-33.0,0.015
393,393.0,-17.0,0.025
394,394.0,-39.0,-0.01
395,395.0,-47.0,-0.02
396,396.0,-49.0,-0.1
397,397.0,-55.0,0.05
398,398.0,-43.0,0.02
399,399.0,-71.0,0.055
400,400.0,-31.0,-0.035
401,401.0,-39.0,-0.015
402,402.0,-85.0,0.035
403,403.0,-37.0,-0.005
404,404.0,-43.0,0.02
405,405.0,-57.0,-0.055
406,406.0,-75.0,-0.025
407,407.0,-21.0,-0.1
408,408.0,-51.0,-0.075
409,409.0,-37.0,-0.11
410,410.0,-51.0,-0.015
411,411.0,-17.0,0.01
412,412.0,-39.0,0.035
