,n_step,energy,average_magnetization
0,0.0,-156.0,-0.09
1,1.0,-196.0,0.015
2,2.0,-178.0,-0.005
3,3.0,-150.0,-0.06
4,4.0,-132.0,-0.14
5,5.0,-182.0,-0.11
6,6.0,-224.0,-0.06
7,7.0,-114.0,-0.075
8,8.0,-130.0,-0.07
9,9.0,-138.0,0.035
10,10.0,-122.0,0.04
11,11.0,-152.0,-0.055
12,12.0,-164.0,-0.015
13,13.0,-158.0,0.115
14,14.0,-130.0,0.1
15,15.0,-174.0,-0.02
16,16.0,-192.0,0.045
17,17.0,-226.0,0.085
18,18.0,-184.0,0.135
19,19.0,-114.0,0.09
20,20.0,-164.0,0.055
21,21.0,-160.0,0.0
22,22.0,-174.0,-0.075
23,23.0,-144.0,0.035
24,24.0,-250.0,0.11
25,25.0,-228.0,0.085
26,26.0,-196.0,-0.045
27,27.0,-110.0,-0.025
28,28.0,-140.0,-0.025
29,29.0,-180.0,-0.08
30,30.0,-160.0,-0.22
31,31.0,-184.0,-0.115
32,32.0,-176.0,-0.085
33,33.0,-126.0,-0.085
34,34.0,-192.0,-0.075
35,35.0,-156.0,-0.025
36,36.0,-156.0,-0.005
37,37.0,-152.0,-0.005
38,38.0,-208.0,-0.155
39,39.0,-174.0,-0.21
40,40.0,-162.0,-0.1
41,41.0,-144.0,-0.12
42,42.0,-142.0,-0.14
43,43.0,-198.0,-0.06
44,44.0,-192.0,-0.145
45,45.0,-130.0,-0.025
46,46.0,-174.0,0.005
47,47.0,-180.0,0.01
48,48.0,-144.0,0.105
49,49.0,-156.0,-0.01
50,50.0,-164.0,0.06
51,51.0,-158.0,0.11
52,52.0,-218.0,0.11
53,53.0,-208.0,0.155
54,54.0,-166.0,0.065
55,55.0,-196.0,0.085
56,56.0,-138.0,0.01
57,57.0,-232.0,-0.15
58,58.0,-238.0,0.025
59,59.0,-152.0,-0.08
60,60.0,-132.0,-0.025
61,61.0,-108.0,0.125
62,62.0,-150.0,0.055
63,63.0,-196.0,0.03
64,64.0,-164.0,-0.015
65,65.0,-186.0,0.005
66,66.0,-154.0,-0.075
67,67.0,-122.0,-0.03
68,68.0,-132.0,-0.11
69,69.0,-186.0,-0.115
70,70.0,-182.0,-0.115
71,71.0,-142.0,-0.095
72,72.0,-146.0,-0.07
73,73.0,-154.0,-0.03
74,74.0,-152.0,0.045
75,75.0,-198.0,-0.05
76,76.0,-178.0,-0.1
77,77.0,-232.0,-0.135
78,78.0,-176.0,-0.12
79,79.0,-112.0,-0.045
80,80.0,-166.0,0.01
81,81.0,-122.0,0.045
82,82.0,-162.0,0.005
83,83.0,-140.0,-0.03
84,84.0,-180.0,-0.1
85,85.0,-164.0,-0.06
86,86.0,-140.0,-0.04
87,87.0,-122.0,-0.025
88,88.0,-168.0,-0.01
89,89.0,-152.0,0.015
90,90.0,-158.0,0.05
91,91.0,-184.0,0.015
92,92.0,-114.0,0.035
93,93.0,-110.0,-0.05
94,94.0,-202.0,0.03
95,95.0,-154.0,-0.02
96,96.0,-234.0,-0.07
97,97.0,-156.0,-0.135
98,98.0,-154.0,-0.145
99,99.0,-130.0,-0.055
100,100.0,-110.0,-0.04
101,101.0,-170.0,-0.075
102,102.0,-164.0,0.03
103,103.0,-90.0,-0.055
104,104.0,-158.0,-0.1
105,105.0,-186.0,0.005
106,106.0,-160.0,0.145
107,107.0,-186.0,0.035
108,108.0,-186.0,-0.03
109,109.0,-160.0,-0.025
110,110.0,-202.0,0.035
111,111.0,-136.0,-0.025
112,112.0,-178.0,0.0
113,113.0,-144.0,-0.015
114,114.0,-132.0,-0.01
115,115.0,-124.0,-0.005
116,116.0,-128.0,-0.08
117,117.0,-152.0,-0.055
118,118.0,-178.0,-0.125
119,119.0,-118.0,-0.055
120,120.0,-162.0,0.0
121,121.0,-150.0,0.06
122,122.0,-168.0,0.06
123,123.0,-230.0,-0.06
124,124.0,-188.0,-0.03
125,125.0,-234.0,0.055
126,126.0,-196.0,0.15
127,127.0,-162.0,0.14
128,128.0,-156.0,0.105
129,129.0,-140.0,0.11
130,130.0,-138.0,-0.005
131,131.0,-178.0,0.025
132,132.0,-94.0,0.01
133,133.0,-180.0,0.155
134,134.0,-194.0,0.135
135,135.0,-130.0,0.125
136,136.0,-196.0,-0.005
137,137.0,-226.0,-0.05
138,138.0,-180.0,-0.01
139,139.0,-220.0,-0.015
140,140.0,-182.0,0.025
141,141.0,-158.0,-0.045
142,142.0,-170.0,-0.03
143,143.0,-116.0,-0.05
144,144.0,-156.0,-0.045
145,145.0,-168.0,-0.02
146,146.0,-156.0,0.03
147,147.0,-168.0,-0.035
148,148.0,-160.0,0.01
149,149.0,-136.0,-0.06
150,150.0,-192.0,-0.155
151,151.0,-232.0,-0.085
152,152.0,-180.0,-0.105
153,153.0,-174.0,-0.015
154,154.0,-170.0,0.025
155,155.0,-200.0,-0.01
156,156.0,-190.0,0.01
157,157.0,-168.0,0.0
158,158.0,-198.0,0.035
159,159.0,-126.0,-0.015
160,160.0,-184.0,-0.035
161,161.0,-152.0,0.05
162,162.0,-184.0,0.095
163,163.0,-182.0,-0.03
164,164.0,-188.0,0.105
165,165.0,-246.0,0.155
166,166.0,-186.0,0.075
167,167.0,-158.0,0.065
168,168.0,-160.0,-0.035
169,169.0,-144.0,-0.025
170,170.0,-136.0,0.0
171,171.0,-134.0,0.05
172,172.0,-114.0,0.095
173,173.0,-192.0,0.035
174,174.0,-184.0,0.035
175,175.0,-154.0,0.15
176,176.0,-146.0,0.04
177,177.0,-162.0,0.14
178,178.0,-188.0,0.03
179,179.0,-218.0,0.065
180,180.0,-176.0,-0.055
181,181.0,-152.0,0.03
182,182.0,-132.0,0.01
183,183.0,-162.0,0.04
184,184.0,-154.0,0.06
185,185.0,-152.0,0.045
186,186.0,-154.0,0.095
187,187.0,-192.0,0.04
188,188.0,-190.0,0.05
189,189.0,-182.0,0.065
190,190.0,-178.0,0.1
191,191.0,-226.0,0.045
192,192.0,-230.0,0.04
193,193.0,-184.0,0.1
194,194.0,-204.0,0.135
195,195.0,-166.0,0.075
196,196.0,-174.0,-0.055
197,197.0,-160.0,0.055
198,198.0,-180.0,0.18
199,199.0,-92.0,0.155
200,200.0,-164.0,0.12
201,201.0,-118.0,0.105
202,202.0,-170.0,0.1
203,203.0,-182.0,0.12
204,204.0,-134.0,0.135
205,205.0,-216.0,0.135
206,206.0,-148.0,0.14
207,207.0,-140.0,0.055
208,208.0,-180.0,0.105
209,209.0,-160.0,0.06
210,210.0,-140.0,0.0
211,211.0,-186.0,0.06
212,212.0,-158.0,-0.025
213,213.0,-172.0,0.08
214,214.0,-132.0,0.035
215,215.0,-172.0,0.04
216,216.0,-114.0,-0.075
217,217.0,-196.0,0.01
218,218.0,-250.0,0.055
219,219.0,-198.0,0.07
220,220.0,-212.0,0.055
221,221.0,-164.0,-0.03
222,222.0,-160.0,0.12
223,223.0,-148.0,0.08
224,224.0,-142.0,0.055
225,225.0,-184.0,-0.11
226,226.0,-164.0,-0.03
227,227.0,-192.0,0.065
228,228.0,-140.0,0.065
229,229.0,-144.0,0.04
230,230.0,-206.0,0.135
231,231.0,-134.0,0.05
232,232.0,-136.0,0.08
233,233.0,-140.0,-0.01
234,234.0,-216.0,0.055
235,235.0,-246.0,-0.02
236,236.0,-154.0,-0.005
237,237.0,-158.0,0.03
238,238.0,-150.0,0.105
239,239.0,-212.0,0.12
240,240.0,-180.0,0.005
241,241.0,-114.0,0.035
242,242.0,-164.0,0.0
243,243.0,-144.0,0.0
244,244.0,-166.0,-0.05
245,245.0,-160.0,0.035
246,246.0,-124.0,0.01
247,247.0,-152.0,0.03
248,248.0,-178.0,-0.025
249,249.0,-202.0,-0.085
250,250.0,-134.0,-0.07
251,251.0,-134.0,-0.07
252,252.0,-86.0,-0.04
253,253.0,-146.0,0.005
254,254.0,-176.0,-0.075
255,255.0,-120.0,-0.155
256,256.0,-188.0,-0.055
257,257.0,-142.0,0.015
258,258.0,-132.0,-0.04
259,259.0,-166.0,0.005
260,260.0,-172.0,0.085
261,261.0,-146.0,-0.04
262,262.0,-190.0,-0.04
263,263.0,-122.0,0.01
264,264.0,-172.0,0.005
265,265.0,-144.0,0.095
266,266.0,-188.0,0.035
267,267.0,-128.0,0.01
268,268.0,-152.0,-0.04
269,269.0,-188.0,-0.045
270,270.0,-154.0,0.015
271,271.0,-132.0,-0.025
272,272.0,-162.0,-0.085
273,273.0,-180.0,-0.11
274,274.0,-116.0,-0.1
275,275.0,-140.0,-0.06
276,276.0,-168.0,-0.075
277,277.0,-162.0,0.0
278,278.0,-142.0,0.035
279,279.0,-186.0,0.135
280,280.0,-158.0,0.005
281,281.0,-178.0,-0.015
282,282.0,-152.0,-0.09
283,283.0,-162.0,0.02
284,284.0,-166.0,0.005
285,285.0,-150.0,0.005
286,286.0,-154.0,0.09
287,287.0,-174.0,0.07
288,288.0,-142.0,0.01
289,289.0,-200.0,-0.025
290,290.0,-88.0,-0.03
291,291.0,-146.0,-0.1
292,292.0,-164.0,-0.08
293,293.0,-146.0,0.1
294,294.0,-162.0,0.045
295,295.0,-176.0,0.115
296,296.0,-140.0,0.09
297,297.0,-162.0,0.12
298,298.0,-180.0,0.115
299,299.0,-140.0,0.1
300,300.0,-148.0,-0.06
301,301.0,-152.0,-0.095
302,302.0,-210.0,-0.14
303,303.0,-192.0,-0.07
304,304.0,-156.0,-0.175
305,305.0,-238.0,-0.275
306,306.0,-174.0,-0.13
307,307.0,-164.0,-0.085
308,308.0,-152.0,-0.02
309,309.0,-130.0,0.04
310,310.0,-92.0,0.05
311,311.0,-170.0,0.06
312,312.0,-170.0,0.01
313,313.0,-156.0,0.015
314,314.0,-196.0,0.065
315,315.0,-166.0,0.01
316,316.0,-160.0,0.085
317,317.0,-176.0,0.025
318,318.0,-118.0,-0.015
319,319.0,-134.0,0.015
320,320.0,-164.0,0.14
321,321.0,-158.0,0.09
322,322.0,-250.0,0.13
323,323.0,-244.0,0.165
324,324.0,-206.0,0.07
325,325.0,-182.0,0.11
326,326.0,-142.0,-0.025
327,327.0,-142.0,-0.035
328,328.0,-160.0,0.06
329,329.0,-202.0,0.125
330,330.0,-210.0,0.055
331,331.0,-204.0,0.13
332,332.0,-176.0,0.105
333,333.0,-182.0,0.11
334,334.0,-114.0,0.07
335,335.0,-172.0,0.065
336,336.0,-130.0,-0.015
337,337.0,-180.0,-0.005
338,338.0,-172.0,0.045
339,339.0,-208.0,-0.02
340,340.0,-242.0,-0.085
341,341.0,-198.0,0.05
342,342.0,-184.0,-0.08
343,343.0,-152.0,0.0
344,344.0,-164.0,-0.005
345,345.0,-164.0,0.0
346,346.0,-148.0,-0.06
347,347.0,-142.0,0.155
348,348.0,-140.0,0.035
349,349.0,-156.0,0.01
350,350.0,-186.0,-0.085
351,351.0,-208.0,-0.025
352,352.0,-172.0,-0.025
353,353.0,-176.0,-0.045
354,354.0,-170.0,0.005
355,355.0,-190.0,0.045
356,356.0,-156.0,0.005
357,357.0,-156.0,-0.005
358,358.0,-138.0,0.155
359,359.0,-184.0,0.075
360,360.0,-148.0,0.115
361,361.0,-158.0,0.07
362,362.0,-192.0,0.18
363,363.0,-194.0,0.17
364,364.0,-158.0,0.0
365,365.0,-190.0,-0.07
366,366.0,-136.0,-0.02
367,367.0,-180.0,-0.01
368,368.0,-166.0,0.005
369,369.0,-152.0,0.095
370,370.0,-168.0,0.08
371,371.0,-126.0,0.11
372,372.0,-112.0,0.02
373,373.0,-172.0,0.155
374,374.0,-130.0,0.165
375,375.0,-168.0,0.18
376,376.0,-100.0,0.07
377,377.0,-142.0,0.13
378,378.0,-128.0,0.04
379,379.0,-138.0,-0.015
380,380.0,-188.0,-0.015
381,381.0,-126.0,-0.01
382,382.0,-184.0,-0.135
383,383.0,-154.0,-0.165
384,384.0,-58.0,-0.025
385,385.0,-136.0,0.115
386,386.0,-130.0,0.07
387,387.0,-122.0,0.06
388,388.0,-166.0,-0.035
389,389.0,-168.0,-0.065
390,390.0,-174.0,-0.08
391,391.0,-198.0,0.025
392,392.0,-204.0,0.02
393,393.0,-202.0,0.145
394,394.0,-162.0,0.155
395,395.0,-138.0,0.085
396,396.0,-164.0,0.04
397,397.0,-128.0,0.15
398,398.0,-180.0,0.115
399,399.0,-150.0,-0.045
400,400.0,-190.0,0.06
401,401.0,-136.0,0.055
402,402.0,-150.0,0.03
403,403.0,-154.0,-0.065
404,404.0,-166.0,0.06
405,405.0,-186.0,-0.065
406,406.0,-170.0,-0.04
407,407.0,-194.0,0.04
408,408.0,-196.0,0.07
409,409.0,-202.0,0.18
410,410.0,-192.0,-0.08
411,411.0,-136.0,-0.165
412,412.0,-112.0,-0.12
413,413.0,-192.0,-0.035
414,414.0,-154.0,-0.035
415,415.0,-158.0,-0.08
416,416.0,-120.0,0.1
417,417.0,-156.0,-0.095
418,418.0,-158.0,-0.045
419,419.0,-172.0,-0.05
420,420.0,-124.0,0.035
421,421.0,-158.0,-0.1
422,422.0,-150.0,-0.125
423,423.0,-136.0,-0.12
424,424.0,-196.0,-0.135
425,425.0,-178.0,-0.02
426,426.0,-210.0,-0.005
427,427.0,-124.0,-0.015
428,428.0,-160.0,0.065
429,429.0,-164.0,0.03
430,430.0,-166.0,-0.005
431,431.0,-148.0,-0.085
432,432.0,-120.0,-0.01
433,433.0,-192.0,-0.025
434,434.0,-144.0,-0.04
435,435.0,-136.0,-0.015
436,436.0,-176.0,-0.035
437,437.0,-202.0,0.02
438,438.0,-138.0,-0.065
439,439.0,-134.0,0.02
440,440.0,-172.0,0.075
441,441.0,-132.0,0.015
442,442.0,-166.0,-0.04
443,443.0,-166.0,-0.08
444,444.0,-170.0,0.0
445,445.0,-150.0,-0.02
446,446.0,-192.0,0.035
447,447.0,-194.0,0.155
448,448.0,-168.0,0.12
449,449.0,-168.0,0.03
450,450.0,-132.0,-0.025
451,451.0,-144.0,0.01
452,452.0,-162.0,-0.05
453,453.0,-190.0,-0.03
454,454.0,-176.0,0.075
455,455.0,-174.0,-0.015
456,456.0,-216.0,-0.125
457,457.0,-210.0,0.005
458,458.0,-168.0,0.015
459,459.0,-152.0,0.085
460,460.0,-156.0,-0.005
461,461.0,-184.0,0.05
462,462.0,-172.0,-0.14
463,463.0,-120.0,-0.095
464,464.0,-158.0,-0.09
465,465.0,-212.0,-0.015
466,466.0,-156.0,-0.035
467,467.0,-172.0,0.0
468,468.0,-164.0,-0.015
469,469.0,-192.0,0.03
470,470.0,-112.0,-0.08
471,471.0,-156.0,0.085
472,472.0,-118.0,-0.025
473,473.0,-170.0,-0.06
474,474.0,-146.0,0.04
475,475.0,-168.0,0.065
476,476.0,-178.0,0.035
477,477.0,-136.0,-0.05
