railway_name,railway_stops
Londonderry Line,"['Antrim' 'Ballymena' 'Ballymoney' 'Belfast Central' 'Bellarena' 'Botanic'
 'Castlerock' 'City Hospital' 'Coleraine' 'Cullybackey'
 'Great Victoria Street' 'Jordanstown' 'Londonderry' 'Mossley West'
 'Titanic Quarter' 'University' 'Whiteabbey']"
Bangor Line,"['Bangor' 'Bangor West' 'Belfast Central' 'Carnalea' 'Cultra'
 ""Helen's Bay"" 'Holywood' 'Marino' 'Seahill' 'Sydenham' 'Titanic Quarter']"
Larne Line,"['Ballycarry' 'Carrickfergus' 'Clipperstown' 'Downshire' 'Glynn'
 'Greenisland' 'Jordanstown' 'Larne Harbour' 'Larne Town' 'Magheramorne'
 'Trooperslane' 'Whiteabbey' 'Whitehead']"
Portadown/ Newry Line,"['Adelaide' 'Balmoral' 'Botanic' 'City Hospital' 'Derriaghy' 'Dunmurry'
 'Finaghy' 'Great Victoria Street' 'Hilden' 'Lambeg' 'Lisburn' 'Lurgan'
 'Moira' 'Newry' 'Portadown' 'Poyntzpass' 'Scarva']"
Portrush Line,['Coleraine' 'Dhu Varren' 'Portrush' 'University']
Dublin Line,['Newry']
