time,instance_1,instance_2,instance_3,instance_4,instance_5,instance_6,instance_7,instance_8,instance_9,instance_10,mean
0,0.41223671013039115,0.43296556335673686,0.4379806084921431,0.44098963557338683,0.41491140086927447,0.42995653627549313,0.4242728184553661,0.4172517552657974,0.43229689067201604,0.4215981277164828,0.42644600468070876
1,0.40421263791374124,0.41658308258107657,0.40421263791374124,0.4202607823470411,0.3901705115346038,0.41457706452691406,0.4095620193915079,0.39786024740889336,0.4078903376797058,0.40287529254429955,0.4068204613841524
2,0.4095620193915079,0.42527582748244735,0.41223671013039115,0.4035439652290204,0.3998662654630558,0.43196255432965563,0.3788030758943497,0.36643263122701436,0.40320962888665995,0.3945168839852892,0.4025409562019392
3,0.41390839184219325,0.40688732865262456,0.399197592778335,0.4082246740220662,0.4289535272484119,0.41323971915747243,0.35473085924439984,0.3447007689735874,0.39485122032764963,0.4108993647609495,0.397559344700769
4,0.41424272818455365,0.42293547308592444,0.41457706452691406,0.3898361751922434,0.41390839184219325,0.39618856569709127,0.3627549314610498,0.32196589769307926,0.40488131059846205,0.3818121029755934,0.39231026412571046
5,0.426613172851889,0.4172517552657974,0.4108993647609495,0.3891675025075226,0.3918421932464059,0.39384821130056835,0.37947174857907057,0.3319959879638917,0.40421263791374124,0.4038783015713808,0.3949180875961217
6,0.41558007355399534,0.4222668004012036,0.4008692744901371,0.3784687395519893,0.3834837846873955,0.41223671013039115,0.3707790036776998,0.31728518890003343,0.4112337011033099,0.399197592778335,0.39114008692744895
7,0.4098963557338683,0.41591440989635575,0.38849882982280176,0.3650952858575727,0.3808090939485122,0.41424272818455365,0.3647609495152123,0.2858575727181545,0.4082246740220662,0.40254095620193914,0.38358408559010365
8,0.3945168839852892,0.39418254764292876,0.3881644934804413,0.3995319291206954,0.3968572383818121,0.4075560013373454,0.3741223671013039,0.279839518555667,0.40254095620193914,0.4018722835172183,0.383918421932464
9,0.40320962888665995,0.40454697425610164,0.3945168839852892,0.4038783015713808,0.37679705784018724,0.4005349381477767,0.39518555667001004,0.2982280173854898,0.38515546639919757,0.3995319291206954,0.3861584754262789
10,0.40254095620193914,0.40488131059846205,0.3998662654630558,0.4185891006352391,0.38515546639919757,0.40320962888665995,0.37679705784018724,0.2868605817452357,0.37579404881310596,0.39618856569709127,0.3849882982280174
11,0.43029087261785354,0.3781344032096289,0.3828151120026747,0.4092276830491474,0.39384821130056835,0.38448679371447675,0.36108324974924777,0.2962219993313273,0.3791374122367101,0.4062186559679037,0.38214643931795383
12,0.3818121029755934,0.39418254764292876,0.36542962219993314,0.3828151120026747,0.38548980274155803,0.4092276830491474,0.36576395854229354,0.26980942828485455,0.3624205951186894,0.41658308258107657,0.3733533935138749
13,0.38849882982280176,0.4075560013373454,0.31862253426947507,0.38615847542627885,0.3801404212637914,0.40722166499498497,0.38615847542627885,0.2480775660314276,0.3741223671013039,0.40220661985957873,0.3698762955533267
14,0.38214643931795383,0.4098963557338683,0.3055834169174189,0.34704112337011034,0.3908391842193246,0.4105650284185891,0.38214643931795383,0.23537278502173187,0.3921765295887663,0.3985289200936142,0.36542962219993314
15,0.3834837846873955,0.41424272818455365,0.33132731527917086,0.3527248411902374,0.39485122032764963,0.41323971915747243,0.38849882982280176,0.23136074891340688,0.40220661985957873,0.3908391842193246,0.3702774991641592
16,0.33901705115346037,0.41190237378803074,0.28986960882647944,0.3303243062520896,0.3915078569040455,0.3925108659311267,0.3928452022734871,0.2340354396522902,0.39351387495820794,0.39351387495820794,0.3569040454697426
17,0.35640254095620194,0.4002006018054162,0.3122701437646272,0.32464058843196253,0.3781344032096289,0.4005349381477767,0.4112337011033099,0.23737880307589435,0.4015379471748579,0.40688732865262456,0.36292209963223
18,0.37579404881310596,0.39551989301237045,0.2795051822133066,0.2728184553660983,0.38849882982280176,0.408893346706787,0.40220661985957873,0.2203276496155132,0.4018722835172183,0.4012036108324975,0.35466399197592774
19,0.3824807756603143,0.3988632564359746,0.3052490805750585,0.30658642594450014,0.39418254764292876,0.37947174857907057,0.4035439652290204,0.20528251420929455,0.3901705115346038,0.3704446673353394,0.3536275493146105
