node_ID,node_label,longitude,latitude
1,Blace,21.30833599999977,42.13271649999984
2,Volkovo,21.35428699999977,42.04812899999985
3,Prdejci,22.512500999999787,41.14385599999986
4,Stara Smokvica,22.49572249999977,41.222424999999845
5,Kremenica,21.461815499999773,40.91296249999985
6,Bitola,21.343173999999777,41.01896349999984
7,Tabanovce,21.69724899999977,42.22643899999986
8,Karposh,21.67538649999977,42.17895349999986
9,Zajas,20.938869499999782,41.61747599999984
10,Tajmishte,20.876443999999765,41.65117249999986
11,Dlapkin Dol,20.95672499999978,41.565195499999845
12,Padalishte,20.96314799999979,41.68583399999986
13,Jegunovce,21.118147499999765,42.07978349999985
14,Radusha,21.222072999999767,42.08244749999986
15,Tetovo,20.98839649999977,42.00894099999985
16,Topolka,21.74425899999977,41.67897799999986
17,Chashka,21.693758999999773,41.64811149999986
18,Veles,21.76951749999978,41.72436199999984
19,Nikola Karev,21.35208849999978,41.08535549999985
20,Dame Gruev,21.38787199999979,41.15449199999986
21,Stari Grad,21.683904499999784,41.585394499999865
22,Madzhari,21.49901049999977,41.994173999999845
23,Skopje Tovarna - Pivara,21.44601899999978,41.99118449999986
24,Ilinden,21.576250999999782,41.99847899999986
25,Drachevo,21.53622499999977,41.93925099999984
26,Dubrovo,22.152163499999773,41.46241749999984
27,Negotino,22.10454349999977,41.497231999999855
28,Demir Kapija,22.245991999999774,41.40827549999986
29,Bakarno Gumno,21.41765049999978,41.27184549999984
30,Trojkrsti,21.40848149999977,41.24064099999984
31,Galichani,21.483387499999765,41.30967299999986
32,Zherovjane,20.94438949999977,41.917046999999855
33,Gostivar,20.917039499999788,41.79631399999985
34,Kichevo,20.94946899999977,41.51103849999984
35,Lakavica,20.927407499999788,41.74447599999985
36,Gostirazhni,21.43118399999977,41.55077549999984
37,Oreshe,21.450489499999776,41.605822499999846
38,Slepche,21.42978949999977,41.503651999999846
39,Bogomila,21.48408149999977,41.595803499999846
40,Jazla,21.78074749999979,41.77105549999985
41,Tosho Arsov,21.882425499999783,41.79920899999985
42,Ovche Pole,22.00917199999978,41.80515999999986
43,Shivec,21.953878999999773,41.43503249999986
44,Gradsko,21.946354999999784,41.578669999999846
45,Kukurechani,22.038884499999767,41.54806999999985
46,Crvei Bregovi,22.07140849999979,41.54289899999986
47,Miladinovci,21.650144499999783,41.98766549999985
48,Romanovce,21.679634499999764,42.07642399999986
49,Kumanovo,21.68485099999978,42.12966299999985
50,Pchinja,21.66998549999977,41.81854799999985
51,Kadina Reka,21.63840999999977,41.83382999999986
52,Rajko Zhinzifov,21.701701999999784,41.78824499999985
53,Gjorche Petrov,21.360599999999778,42.01388899999986
54,Jane Sandanski,21.593797499999766,41.90724649999984
55,Zelenikovo,21.604785499999792,41.87230049999985
56,Miravci,22.44459149999977,41.32401999999985
57,Krivolak,22.12839249999979,41.527840499999854
58,Loznani,21.40961599999977,41.19148699999985
59,Prilep,21.536553999999768,41.34420249999985
60,Senokos,21.47686299999978,41.41140999999985
61,Brailovo,21.456658499999776,41.46106899999984
62,Mazhuchishte,21.49410999999978,41.378208999999856
63,Klisura,22.31488399999978,41.39264449999985
64,Zgropolci,21.87329349999979,41.658513499999856
65,Vancho Prkje,22.238906999999784,41.85091599999984
66,Shtip,22.17304849999977,41.75631549999986
67,Sokolarci,22.295496999999784,41.87638749999985
68,Martolci,21.65164949999979,41.55846249999985
69,Vasil Antevski Dren,21.60977749999978,41.551773499999854
70,Teovo,21.573477999999767,41.57938949999985
71,Kochani,22.420786499999764,41.91187299999984
