node_ID,node_label,longitude,latitude
1,Dlhe nad Cirochou,22.066446999999783,48.958611999999846
2,Snina,22.156585999999777,48.98992149999984
3,Modra nad Cirochou,22.03537399999979,48.94820299999984
4,Gbely,17.08237299999979,48.71035149999983
5,Kopcany,17.12130799999977,48.77141799999984
6,Kuty,17.047976499999777,48.66195149999984
7,Prievidza,18.61669999999978,48.77479399999984
8,Nedozery-Brezany,18.639400499999795,48.80697999999984
9,Kos,18.574262499999776,48.748807499999856
10,Sajdikove Humence,17.262615499999782,48.65990849999986
11,Borsky Mikulas,17.191765999999774,48.64236149999985
12,Senica,17.334406499999773,48.66581299999984
13,Medzibrodie nad Oravou,19.344078499999767,49.22808549999985
14,Oravsky Podzamok,19.36341349999978,49.26018349999984
15,Dolny Kubin,19.296929499999777,49.21642599999984
16,Kvetoslavov,17.35938699999977,48.05568549999984
17,Velka Paka,17.40327949999977,48.03858149999985
18,Miloslavov,17.309605999999775,48.079885999999846
19,Orechova Poton,17.530379499999782,48.01441299999985
20,Krompachy,20.88639999999978,48.92171949999985
21,Spisske Vlachy,20.80328299999977,48.93520099999984
22,Richnava,20.92559399999979,48.92268049999984
23,Spisske Tomasovce,20.474524499999774,48.96452749999983
24,Smizany,20.5230914999998,48.95327149999986
25,Letanovce,20.435698499999774,48.983677999999856
26,Zahorska Ves,16.84403649999979,48.37754099999984
27,Vysoka pri Morave,16.91297499999979,48.33388649999984
28,Vaniskovce,21.290246499999768,49.16501899999983
29,Raslavice,21.32379499999979,49.14062799999985
30,Hertnik,21.266603999999774,49.21594899999985
31,Tulcik,21.30688299999977,49.08786049999984
32,Lada,21.35990049999978,49.04724449999984
33,Vojany,21.99860799999979,48.57136699999984
34,Drahnov,21.96595749999977,48.60087049999984
35,Velke Kapusany,22.06703399999978,48.56094399999984
36,Myjava,17.571004999999786,48.76356899999985
37,Poriadie,17.61571699999979,48.77605599999984
38,Brestovec,17.531467499999792,48.80185449999985
