nodeID_from,nodeID_to
1,2
1,3
2,75
3,79
4,5
4,6
5,7
6,147
7,156
8,9
8,10
9,136
11,12
11,13
11,14
12,15
13,106
13,130
14,130
14,109
15,116
16,17
16,18
17,164
18,152
19,20
19,21
20,151
21,164
22,23
22,24
23,25
24,170
25,100
26,27
26,28
27,84
28,131
29,30
29,31
30,89
31,37
31,74
32,33
32,34
33,35
34,126
35,107
36,37
36,38
38,201
39,40
39,41
40,42
40,43
41,122
42,105
42,86
43,151
44,45
44,46
45,47
46,124
47,65
48,49
48,50
49,51
50,100
50,101
51,74
52,53
52,54
53,66
54,70
55,56
55,57
56,58
57,68
58,63
59,60
59,61
60,62
61,86
62,120
63,64
64,123
65,215
66,67
67,82
68,69
69,117
71,72
71,73
73,174
75,91
75,110
76,77
76,78
77,97
78,192
79,80
80,81
81,99
82,115
83,84
83,85
85,208
86,126
86,105
87,88
87,89
88,90
91,92
93,94
93,95
94,96
95,122
96,214
97,98
98,202
101,203
102,103
102,104
103,109
104,204
105,180
106,107
106,108
108,171
108,205
110,111
111,190
112,113
112,114
113,197
114,131
115,123
116,189
117,127
118,119
120,121
121,129
124,125
125,214
127,128
128,135
132,133
132,134
133,139
134,166
135,213
136,137
137,138
138,158
139,140
140,141
141,145
142,143
142,144
143,148
144,165
145,146
146,148
147,160
149,150
150,160
153,154
154,197
155,156
155,157
157,167
158,159
161,162
161,163
162,165
163,173
166,208
167,211
167,212
167,210
168,169
169,170
171,172
173,210
174,175
175,183
176,177
176,178
177,179
178,182
179,181
180,181
182,184
183,194
184,201
185,186
185,187
186,188
187,189
188,190
191,192
191,193
193,194
195,196
196,198
198,199
199,200
200,209
202,203
204,206
206,207
211,213
212,215
