nodeID_from,nodeID_to
1,2
1,3
3,6
3,7
3,8
3,9
3,10
3,11
4,5
5,20
6,7
6,8
6,9
6,10
6,11
7,8
7,9
7,49
7,10
7,11
8,9
8,79
8,10
8,11
9,68
9,80
9,81
9,10
9,11
10,79
10,108
10,105
10,106
10,102
10,11
11,140
12,13
12,14
12,15
12,16
12,17
12,18
12,19
13,20
14,27
14,15
14,16
14,17
14,18
14,19
15,41
15,16
15,17
15,18
15,19
16,42
16,17
16,43
16,18
16,19
17,64
17,18
17,19
18,19
19,138
21,22
21,23
22,24
23,26
24,25
25,128
26,33
27,28
28,29
30,31
30,32
31,34
31,86
31,35
31,36
31,110
32,110
32,111
32,112
34,35
34,36
35,55
35,90
36,83
37,38
38,41
39,40
42,103
42,43
43,111
43,120
44,45
44,46
44,47
44,48
45,78
45,46
46,77
46,72
46,65
47,57
47,58
47,48
48,59
48,132
49,99
50,51
50,52
50,53
51,117
51,118
51,52
51,53
52,117
52,118
52,53
53,125
54,55
54,56
55,90
56,100
57,58
57,59
57,60
57,61
57,62
58,66
58,60
58,61
58,67
58,62
59,70
59,75
60,66
60,71
60,73
61,79
61,62
61,102
62,99
62,127
63,64
63,65
65,77
65,78
65,72
67,116
68,69
69,84
69,137
70,71
70,72
70,73
70,74
70,75
70,76
72,77
72,78
72,73
72,74
72,76
72,109
73,74
73,76
74,113
74,76
74,114
75,77
76,117
76,113
76,118
76,114
77,78
78,103
78,104
79,105
79,106
79,102
80,82
80,83
80,84
80,85
81,91
82,107
82,83
83,86
83,121
83,122
84,101
84,98
85,90
85,134
85,122
87,88
87,89
88,95
88,96
88,97
88,98
89,101
91,92
91,93
91,94
92,93
92,94
93,133
93,94
94,141
95,115
96,128
96,97
96,129
97,128
97,131
97,115
98,115
100,101
101,130
101,131
102,105
102,106
104,119
104,120
105,112
105,106
106,119
106,132
107,108
109,136
109,139
110,111
110,112
111,119
111,112
112,121
113,123
113,114
114,135
115,129
116,117
118,123
123,126
124,125
124,126
130,134
133,137
135,136
138,139
140,141
