node_ID,node_label,longitude,latitude
1,Zhestybud,35.210519499999776,48.62506649999983
2,Novomoskovs'k-Dnip.,35.24173899999977,48.64931999999985
3,Kulebivka,35.17684799999975,48.59811699999983
4,Trytuzna,34.60058449999977,48.524248999999855
5,Dniprodzerzhyns'k,34.56758199999976,48.53049999999985
6,Dniprodzerzhyns'k-Pasazhyrs'kyi,34.611565999999755,48.49412299999983
7,Pravda,34.65909299999976,48.51757999999984
8,Klymentove,29.252179999999782,47.823442999999855
9,Mohyliv-Podil's'kyi,27.77450849999977,48.45766899999984
10,Uman,30.20664199999976,48.732901999999854
11,Odesa-Zastava 1,30.656045999999776,46.47684249999983
12,Kuchurhan,30.003161499999777,46.75382299999984
13,Pervomais'k-na-Buzi,30.85455599999977,48.04107399999984
14,Valul-Siret,25.96028499999977,48.02374499999985
15,Chernivtsi - Yuzhnenna,25.95634399999977,48.267606999999856
16,Khyriv,22.85064799999978,49.53132749999983
17,Drohobych,23.544163999999768,49.35509499999984
18,Sknyliv,23.934023999999766,49.82055499999984
19,Domanyntsi,22.337216999999782,48.63822699999986
20,Solivka,22.27230199999977,48.37928399999984
21,Diakovo,23.00803699999977,48.013014999999854
22,Teresva,23.70223299999978,47.99493799999985
23,Mukacheve,22.71373699999978,48.42909399999985
24,Chop,22.20784099999977,48.433470499999856
25,Mostys'ka 2,23.03479299999978,49.81634899999983
26,Pavlove,22.22135449999979,48.58007099999983
27,Uzhhorod,22.30131299999977,48.60843299999985
28,Feodosiia,35.38548899999975,45.029483999999854
29,Aivazovs'ka,35.39376549999977,45.06105499999984
30,Yevpatoriia-Vantazhna,33.36900599999976,45.21377249999984
31,Melitopil,35.356270999999765,46.86702999999986
32,Simferopol,34.08411949999976,44.96380799999986
33,Kerch,36.434057999999766,45.36186899999984
34,Odesa-Port,30.74712299999976,46.48752599999986
35,Odesa-Peresyp,30.72527349999976,46.52517449999985
36,Dilove,24.17725749999977,47.93450599999986
37,Kolomyia,25.06293249999976,48.53380849999985
38,Ivano-Frankivs'k,24.726575999999767,48.91884999999985
39,Mamalyha,26.57797799999977,48.25295299999985
40,Sadhora,25.949381999999787,48.332069999999845
41,Yahodyn,23.895892999999774,51.19819399999983
42,Volyn' (RZD.),24.675780999999773,51.231967499999854
43,Kostiantynivka,37.72735599999976,48.512181999999854
44,Artemivs'k,37.98622999999975,48.58874299999985
45,Mykytivka,38.03026299999976,48.35564099999985
46,Kal'mius,37.89137899999977,48.07663199999985
47,Druzhkivka,37.548273999999765,48.62485999999984
48,Krasnoarmiis'k,37.18162699999976,48.28400549999984
49,Donets'k,37.74567049999976,48.04425799999984
50,Chervonohrad,24.228681999999765,50.39519499999983
51,Ternopil,25.600104999999783,49.55346699999984
52,Pidzamche,24.036198499999784,49.851382999999856
53,Rava-Rus'ka,23.636995999999783,50.22965799999983
54,Volodymyr-Volyns'kyi,24.335301999999785,50.84293499999984
55,Antonivka (RZD.),32.67030699999978,46.68421849999984
56,Zabolottia,24.25186199999979,51.62929099999985
57,Kovel,24.713488999999782,51.21959099999984
58,Kremenchuk,33.42981299999977,49.06881499999983
59,Vel.Kakhnivka,33.430511999999766,49.107589999999846
60,Kriukiv-na-Dnipri,33.424343499999765,49.05512599999983
61,Bairak,38.131565999999765,48.31535899999986
62,Vovchoiars'ka,38.48826599999976,48.86935599999984
63,Trudova,38.062130999999766,48.35371649999985
64,Komunars'k,38.77880799999977,48.48341799999986
65,Avdakove,38.669355999999766,48.50321499999984
66,Karakhash,39.08721699999976,48.13286099999985
67,Roven'ky,39.37050249999976,48.09595199999984
68,Krasnyi Luch,38.92618099999976,48.14095499999985
69,Volyntseve,38.23027399999975,48.25777799999983
70,Zaliutyne,36.16330199999976,49.96601149999984
71,Dublianschyna,34.63734199999976,49.62192349999984
72,Novozhanove,36.20245399999976,49.95680149999984
73,Odnorobivka,35.85887599999975,50.41740399999984
74,Basy,34.885989999999765,50.86272999999983
75,Kharkiv-Balashivs'kyi,36.27697299999977,49.97316499999985
76,Kharkiv-Chervonozavods'kyi,36.27445999999975,49.96941299999983
77,Losieve,36.38463599999977,49.95013749999984
78,Nizhyn,31.89399499999976,51.019408999999854
79,Khutir-Mykhailivs'kyi,33.94527249999976,52.044050999999854
80,Schors,31.94265299999978,51.81465899999984
81,Lubny,32.97448599999976,50.02020299999984
82,P.887km,32.02157699999978,49.45200799999984
83,Kniazhychi,30.78552049999976,50.49580299999985
84,Chernihiv,31.267360999999767,51.48556599999984
85,Shostka,33.47998499999977,51.858801999999855
86,Konotop,33.187873999999766,51.22320699999983
87,Osnova,36.23260999999977,49.94037799999984
88,Bezliudivka,36.249867999999765,49.89616299999983
89,Zernove,34.02237199999976,52.18241799999984
90,Chyhynok,33.60412899999977,52.25423499999985
91,Stryi,23.840650499999786,49.259096499999856
92,Fastiv 1,29.92812899999976,50.07652999999985
93,Berdychiv,28.62203999999977,49.88477899999984
94,Bila Tserkva,30.109824999999773,49.81193999999985
95,Vinnytsia-Vantazhna,28.53149499999978,49.265546999999856
96,Kyiv-Volyns'kyi,30.43428099999977,50.41441399999985
97,Zhytomyr,28.69923599999976,50.26788449999984
98,Rokuvata,33.480932999999766,48.04493299999984
99,Novopylypivka,33.13262199999977,48.64240199999984
100,Shmakove,33.40365749999975,47.95958899999985
101,Korosten'-Zhytomyrs'kyi,28.59309049999976,50.96091099999984
102,Novohrad-Volyns'kyi 1,27.59322999999977,50.59836899999985
103,Korosten'-Podil's'kyi,28.62355199999976,50.99129349999984
104,Udryts'k,26.750393999999773,51.74693399999984
