node_ID,node_label,longitude,latitude
1,Rudna Wielka,21.933983999999786,50.08039799999983
2,Swilcza,21.90073449999977,50.078204999999855
3,Rzeszow,22.005496499999765,50.04279399999984
4,Pietrowice Wielkie,18.09242649999979,50.08441699999983
5,Baborow,17.977942499999784,50.15568949999985
6,Wojnowice,18.13366899999977,50.06400649999984
7,Kietrz,18.007345999999785,50.07610949999983
8,Raclawice Slaskie,17.763792499999795,50.31186749999984
9,Glogowek,17.87487299999978,50.34707799999984
10,Prudnik,17.585365499999796,50.328711499999855
11,Jankow Przygodzki,17.808937499999786,51.61011499999984
12,Przygodzice,17.828693499999787,51.57118349999985
13,Ostrow Wielkopolski,17.805297499999796,51.649811999999855
14,Kamien Pomorski,14.777684499999792,53.96766749999984
15,Wysoka Kamienska,14.832052499999776,53.82826549999984
16,Zwieczyca,21.95521999999977,50.00497299999984
17,Czudec,21.836773499999765,49.93984799999984
18,Lomza,22.063617999999764,53.17130049999983
19,Sniadowo,22.03780099999977,53.09761049999983
20,Piechcin,18.037920999999784,52.81825499999985
21,Pakosc,18.080803999999773,52.802215999999845
22,Barcin,17.941888499999777,52.85211499999983
23,Szczecin Glowny,14.549815499999797,53.41860149999985
24,Police,14.565032999999772,53.54988299999985
25,Suwalki,22.943949999999774,54.10603449999985
26,Augustow,23.03094649999977,53.85104649999983
27,Raczki,22.758910499999786,53.99512699999983
28,Trakiszki,23.22894549999978,54.26486899999984
29,Klewki,20.59113999999977,53.72766599999983
30,Szczytno,20.99977399999977,53.55960499999984
31,Olsztyn Glowny,20.50360699999979,53.78710099999984
32,Olszyny,21.122957499999785,53.55315449999984
33,Wielbark,20.952793499999785,53.39827899999983
34,Wola Krzysztoporska,19.5844884999998,51.35223799999983
35,Belchatow,19.277710999999783,51.29643149999984
36,Milejow,19.675587999999777,51.355574999999845
37,Drzewica,20.4659274999998,51.43682149999984
38,Bialobrzegi,20.0732649999998,51.52375899999984
39,Przysucha,20.655326499999774,51.37860899999984
40,Opoczno,20.271720499999788,51.37271199999984
41,Mszczonow,20.52194199999977,51.964612499999845
42,Nowy Targ,20.01622949999978,49.47208949999984
43,Sieniawa,19.926045499999788,49.53940049999986
44,Szaflary,20.01731449999977,49.438956999999846
45,Jastarnia,18.652882499999777,54.70883499999985
46,Kuznica,18.584052999999784,54.73475049999985
47,Hel,18.80137949999977,54.61156499999984
48,Slawno,16.665593499999773,54.35568799999984
49,Darlowo,16.402691499999776,54.41835199999983
50,Wrzesnica,16.774403999999777,54.40202699999983
51,Koszalin,16.169760999999795,54.19147049999984
52,Tczew,18.788325499999782,54.09809049999984
53,Starogard Gdanski,18.52823799999979,53.97792549999983
54,Milobadz,18.739419999999768,54.14804399999983
55,Subkowy,18.76022949999978,54.00137549999985
56,Kiekrz,16.793717499999786,52.47371299999983
57,Rokietnica,16.74905099999978,52.51472199999984
58,Zbaszynek,15.817129999999793,52.24166149999985
59,Legowo,15.675993499999777,52.13245899999984
60,Swiebodzin,15.538978499999786,52.24454799999984
61,Lutol Suchy,15.751574499999776,52.34574499999985
62,Zbaszyn,15.89697149999978,52.25929949999983
63,Karlowice,17.700011999999788,50.878333499999854
64,Popielow,17.762764999999774,50.82957499999984
65,Dlugoleka,17.19424749999979,51.17809249999985
66,Siechnice,17.15320749999978,51.03851749999984
67,Dobrzyn Wielki,17.860105999999774,50.770151999999854
68,Czarnowasy,17.906849999999793,50.71533499999984
69,Poddebice,18.93017999999978,51.87881099999984
70,Barlogi,18.768558499999784,52.21602349999984
71,Szadek,18.961505999999787,51.68024799999984
72,Zdunska Wola,18.95051249999977,51.61147499999984
73,Balin,19.388514999999785,50.17657999999983
74,Dabrowa Gornicza,19.212662499999794,50.31499549999984
75,Bukowno,19.45536449999977,50.26431649999984
76,Slawkow,19.37352699999977,50.295604499999854
77,Myslowice,19.140975999999768,50.23890299999985
78,Chruszczobrod,19.293707999999786,50.38821549999983
79,Chelm,23.48990299999977,51.14081999999985
80,Wlodawa,23.58501099999978,51.51566649999984
81,Rejowiec Fabryczny,23.23722399999977,51.11782749999984
82,Brzezno,23.61621299999979,51.15610799999985
83,Mlynary,19.744673499999777,54.18585049999984
84,Pieniezno,20.12793149999979,54.24420549999985
85,Frombork,19.676375999999777,54.357080499999824
86,Braniewo,19.86838149999977,54.434364499999845
87,Parysow,21.67848199999977,51.959272999999854
88,Stoczek Lukowski,21.959978999999777,51.955096499999854
89,Czechy,21.60499749999977,51.94453049999984
90,Przeworsk,22.51702999999977,50.065922999999856
91,Pelkinie,22.614834499999773,50.045281499999845
92,Grodzisko Dolne,22.50903299999979,50.16984449999984
93,Grzeska,22.450846499999784,50.080133499999846
94,Munina,22.721990499999777,49.98794949999984
95,Jaroslaw,22.68213499999979,50.00992899999983
96,Oleszyce,23.049096499999763,50.159024499999845
97,Radymno,22.83697399999977,49.93528899999984
98,Pamiatkowo,16.68509949999978,52.55383099999983
99,Szamotuly,16.590905499999792,52.60077149999984
100,Wronki,16.38278649999978,52.70539099999985
101,Siedlisko,16.399424499999782,52.98414049999985
102,Swinoujscie,14.265005499999774,53.90371699999983
103,Miedzyzdroje,14.45492349999978,53.92406649999984
104,Malbork,19.04004099999977,54.037029999999845
105,Sztum,19.020647999999767,53.92924699999983
106,Stare Pole,19.206192999999782,54.05321949999984
107,Mikolajki Pomorskie,19.15397999999979,53.85116299999984
108,Trzciana,21.835422499999765,50.07853649999984
109,Chelmce,18.46819749999977,52.62488049999985
110,Piotrkow Kujawski,18.5192529999998,52.53771799999984
