degree,eigenvalue,mean_density
24,10.0,0.0
24,11.0,0.0
24,12.0,0.0
24,13.0,0.0
24,14.0,0.0
24,15.0,0.0
24,16.0,0.0
24,17.0,0.016216216216216217
24,18.0,0.0064516129032258064
24,19.0,0.0
24,20.0,0.09285714285714286
24,21.0,0.047619047619047616
24,22.0,0.047058823529411764
24,23.0,0.08571428571428572
24,24.0,0.06000000000000001
24,25.0,0.014285714285714287
24,26.0,0.0
24,27.0,0.18
24,28.0,0.1
24,29.0,0.08888888888888889
25,10.0,0.0
25,11.0,0.0
25,12.0,0.0
25,13.0,0.0
25,14.0,0.0
25,15.0,0.001278772378516624
25,16.0,0.0
25,17.0,0.006359300476947535
25,18.0,0.003795066413662239
25,19.0,0.0021008403361344537
25,20.0,0.06512605042016807
25,21.0,0.03641456582633053
25,22.0,0.041522491349480974
25,23.0,0.03361344537815126
25,24.0,0.023529411764705882
25,25.0,0.01680672268907563
25,26.0,0.01680672268907563
25,27.0,0.1764705882352941
25,28.0,0.11764705882352941
25,29.0,0.0718954248366013
26,10.0,0.0
26,11.0,0.0
26,12.0,0.0
26,13.0,0.0
26,14.0,0.0
26,15.0,0.0
26,16.0,0.0
26,17.0,0.0
26,18.0,0.0
26,19.0,0.0
26,20.0,0.02976190476190476
26,21.0,0.015873015873015872
26,22.0,0.024509803921568624
26,23.0,0.02976190476190476
26,24.0,0.025
26,25.0,0.017857142857142856
26,26.0,0.02976190476190476
26,27.0,0.18333333333333335
26,28.0,0.1
26,29.0,0.10185185185185186
27,10.0,0.0
27,11.0,0.0
27,12.0,0.0
27,13.0,0.0
27,14.0,0.0
27,15.0,0.0
27,16.0,0.0025
27,17.0,0.0
27,18.0,0.0032258064516129032
27,19.0,0.0
27,20.0,0.025
27,21.0,0.014285714285714287
27,22.0,0.041176470588235294
27,23.0,0.021428571428571432
27,24.0,0.030000000000000006
27,25.0,0.014285714285714287
27,26.0,0.0071428571428571435
27,27.0,0.13
27,28.0,0.13
27,29.0,0.15555555555555556
28,10.0,0.0
28,11.0,0.0
28,12.0,0.0
28,13.0,0.0
28,14.0,0.0
28,15.0,0.0016722408026755855
28,16.0,0.0
28,17.0,0.006237006237006237
28,18.0,0.0024813895781637717
28,19.0,0.0
28,20.0,0.01098901098901099
28,21.0,0.025641025641025644
28,22.0,0.031674208144796386
28,23.0,0.027472527472527476
28,24.0,0.015384615384615385
28,25.0,0.0
28,26.0,0.02197802197802198
28,27.0,0.13846153846153847
28,28.0,0.16153846153846158
28,29.0,0.12820512820512822
29,10.0,0.0
29,11.0,0.0
29,12.0,0.0
29,13.0,0.0
29,14.0,0.0
29,15.0,0.0
29,16.0,0.0
29,17.0,0.0
29,18.0,0.0032258064516129032
29,19.0,0.0035714285714285718
29,20.0,0.014285714285714287
29,21.0,0.0
29,22.0,0.03529411764705883
29,23.0,0.04285714285714286
29,24.0,0.02
29,25.0,0.0
29,26.0,0.042857142857142864
29,27.0,0.06999999999999999
29,28.0,0.17
29,29.0,0.18888888888888888
