,eigenvalue_index,eigenvalue,degree,number,density
0,0,-9.903570512494893e-15,5,1,0.018518518518518517
1,0,-9.903570512494893e-15,6,0,0.0
2,0,-9.903570512494893e-15,7,0,0.0
3,0,-9.903570512494893e-15,8,0,0.0
4,0,-9.903570512494893e-15,9,0,0.0
5,0,-9.903570512494893e-15,10,0,0.0
6,0,-9.903570512494893e-15,11,0,0.0
7,0,-9.903570512494893e-15,12,0,0.0
8,0,-9.903570512494893e-15,13,0,0.0
9,0,-9.903570512494893e-15,14,0,0.0
10,0,-9.903570512494893e-15,15,0,0.0
11,0,-9.903570512494893e-15,16,0,0.0
12,0,-9.903570512494893e-15,17,0,0.0
13,0,-9.903570512494893e-15,18,0,0.0
14,0,-9.903570512494893e-15,19,0,0.0
15,0,-9.903570512494893e-15,20,0,0.0
16,0,-9.903570512494893e-15,21,0,0.0
17,0,-9.903570512494893e-15,22,0,0.0
18,0,-9.903570512494893e-15,23,0,0.0
19,0,-9.903570512494893e-15,24,0,0.0
20,0,-9.903570512494893e-15,25,0,0.0
21,0,-9.903570512494893e-15,26,0,0.0
22,0,-9.903570512494893e-15,27,0,0.0
23,0,-9.903570512494893e-15,28,0,0.0
24,0,-9.903570512494893e-15,29,0,0.0
25,0,-9.903570512494893e-15,30,0,0.0
26,1,3.0153904480092404,5,1,0.018518518518518517
27,1,3.0153904480092404,6,0,0.0
28,1,3.0153904480092404,7,0,0.0
29,1,3.0153904480092404,8,0,0.0
30,1,3.0153904480092404,9,0,0.0
31,1,3.0153904480092404,10,0,0.0
32,1,3.0153904480092404,11,0,0.0
33,1,3.0153904480092404,12,0,0.0
34,1,3.0153904480092404,13,0,0.0
35,1,3.0153904480092404,14,0,0.0
36,1,3.0153904480092404,15,0,0.0
37,1,3.0153904480092404,16,0,0.0
38,1,3.0153904480092404,17,0,0.0
39,1,3.0153904480092404,18,0,0.0
40,1,3.0153904480092404,19,0,0.0
41,1,3.0153904480092404,20,0,0.0
42,1,3.0153904480092404,21,0,0.0
43,1,3.0153904480092404,22,0,0.0
44,1,3.0153904480092404,23,0,0.0
45,1,3.0153904480092404,24,0,0.0
46,1,3.0153904480092404,25,0,0.0
47,1,3.0153904480092404,26,0,0.0
48,1,3.0153904480092404,27,0,0.0
49,1,3.0153904480092404,28,0,0.0
50,1,3.0153904480092404,29,0,0.0
51,1,3.0153904480092404,30,0,0.0
52,2,3.0578168541246766,5,6,0.1111111111111111
53,2,3.0578168541246766,6,0,0.0
54,2,3.0578168541246766,7,0,0.0
55,2,3.0578168541246766,8,0,0.0
56,2,3.0578168541246766,9,0,0.0
57,2,3.0578168541246766,10,0,0.0
58,2,3.0578168541246766,11,0,0.0
59,2,3.0578168541246766,12,0,0.0
60,2,3.0578168541246766,13,0,0.0
61,2,3.0578168541246766,14,0,0.0
62,2,3.0578168541246766,15,0,0.0
63,2,3.0578168541246766,16,0,0.0
64,2,3.0578168541246766,17,0,0.0
65,2,3.0578168541246766,18,0,0.0
66,2,3.0578168541246766,19,0,0.0
67,2,3.0578168541246766,20,0,0.0
68,2,3.0578168541246766,21,0,0.0
69,2,3.0578168541246766,22,0,0.0
70,2,3.0578168541246766,23,0,0.0
71,2,3.0578168541246766,24,0,0.0
72,2,3.0578168541246766,25,0,0.0
73,2,3.0578168541246766,26,0,0.0
74,2,3.0578168541246766,27,0,0.0
75,2,3.0578168541246766,28,0,0.0
76,2,3.0578168541246766,29,0,0.0
77,2,3.0578168541246766,30,0,0.0
78,3,3.1177348022289757,5,5,0.09259259259259259
79,3,3.1177348022289757,6,0,0.0
80,3,3.1177348022289757,7,0,0.0
81,3,3.1177348022289757,8,0,0.0
82,3,3.1177348022289757,9,0,0.0
83,3,3.1177348022289757,10,0,0.0
84,3,3.1177348022289757,11,0,0.0
85,3,3.1177348022289757,12,0,0.0
86,3,3.1177348022289757,13,0,0.0
87,3,3.1177348022289757,14,0,0.0
88,3,3.1177348022289757,15,0,0.0
89,3,3.1177348022289757,16,0,0.0
90,3,3.1177348022289757,17,0,0.0
91,3,3.1177348022289757,18,0,0.0
92,3,3.1177348022289757,19,0,0.0
93,3,3.1177348022289757,20,0,0.0
94,3,3.1177348022289757,21,0,0.0
95,3,3.1177348022289757,22,0,0.0
96,3,3.1177348022289757,23,0,0.0
97,3,3.1177348022289757,24,0,0.0
98,3,3.1177348022289757,25,0,0.0
99,3,3.1177348022289757,26,0,0.0
100,3,3.1177348022289757,27,0,0.0
101,3,3.1177348022289757,28,0,0.0
102,3,3.1177348022289757,29,0,0.0
103,3,3.1177348022289757,30,0,0.0
104,4,3.2042630160819905,5,7,0.12962962962962962
105,4,3.2042630160819905,6,0,0.0
106,4,3.2042630160819905,7,0,0.0
107,4,3.2042630160819905,8,0,0.0
108,4,3.2042630160819905,9,0,0.0
109,4,3.2042630160819905,10,0,0.0
110,4,3.2042630160819905,11,0,0.0
111,4,3.2042630160819905,12,0,0.0
112,4,3.2042630160819905,13,0,0.0
113,4,3.2042630160819905,14,0,0.0
114,4,3.2042630160819905,15,0,0.0
115,4,3.2042630160819905,16,0,0.0
116,4,3.2042630160819905,17,0,0.0
117,4,3.2042630160819905,18,0,0.0
118,4,3.2042630160819905,19,0,0.0
119,4,3.2042630160819905,20,0,0.0
120,4,3.2042630160819905,21,0,0.0
121,4,3.2042630160819905,22,0,0.0
122,4,3.2042630160819905,23,0,0.0
123,4,3.2042630160819905,24,0,0.0
124,4,3.2042630160819905,25,0,0.0
125,4,3.2042630160819905,26,0,0.0
126,4,3.2042630160819905,27,0,0.0
127,4,3.2042630160819905,28,0,0.0
128,4,3.2042630160819905,29,0,0.0
129,4,3.2042630160819905,30,0,0.0
130,5,3.2142848522243166,5,9,0.16666666666666666
131,5,3.2142848522243166,6,0,0.0
132,5,3.2142848522243166,7,0,0.0
133,5,3.2142848522243166,8,0,0.0
134,5,3.2142848522243166,9,0,0.0
135,5,3.2142848522243166,10,0,0.0
136,5,3.2142848522243166,11,0,0.0
137,5,3.2142848522243166,12,0,0.0
138,5,3.2142848522243166,13,0,0.0
139,5,3.2142848522243166,14,0,0.0
140,5,3.2142848522243166,15,0,0.0
141,5,3.2142848522243166,16,0,0.0
142,5,3.2142848522243166,17,0,0.0
143,5,3.2142848522243166,18,0,0.0
144,5,3.2142848522243166,19,0,0.0
145,5,3.2142848522243166,20,0,0.0
146,5,3.2142848522243166,21,0,0.0
147,5,3.2142848522243166,22,0,0.0
148,5,3.2142848522243166,23,0,0.0
149,5,3.2142848522243166,24,0,0.0
150,5,3.2142848522243166,25,0,0.0
151,5,3.2142848522243166,26,0,0.0
152,5,3.2142848522243166,27,0,0.0
153,5,3.2142848522243166,28,0,0.0
154,5,3.2142848522243166,29,0,0.0
155,5,3.2142848522243166,30,0,0.0
156,6,3.303701369547051,5,3,0.05555555555555555
157,6,3.303701369547051,6,0,0.0
158,6,3.303701369547051,7,0,0.0
159,6,3.303701369547051,8,0,0.0
160,6,3.303701369547051,9,0,0.0
161,6,3.303701369547051,10,0,0.0
162,6,3.303701369547051,11,0,0.0
163,6,3.303701369547051,12,0,0.0
164,6,3.303701369547051,13,0,0.0
165,6,3.303701369547051,14,0,0.0
166,6,3.303701369547051,15,0,0.0
167,6,3.303701369547051,16,0,0.0
168,6,3.303701369547051,17,0,0.0
169,6,3.303701369547051,18,0,0.0
170,6,3.303701369547051,19,0,0.0
171,6,3.303701369547051,20,0,0.0
172,6,3.303701369547051,21,0,0.0
173,6,3.303701369547051,22,0,0.0
174,6,3.303701369547051,23,0,0.0
175,6,3.303701369547051,24,0,0.0
176,6,3.303701369547051,25,0,0.0
177,6,3.303701369547051,26,0,0.0
178,6,3.303701369547051,27,0,0.0
179,6,3.303701369547051,28,0,0.0
180,6,3.303701369547051,29,0,0.0
181,6,3.303701369547051,30,0,0.0
182,7,3.3307509787773784,5,3,0.05555555555555555
183,7,3.3307509787773784,6,0,0.0
184,7,3.3307509787773784,7,0,0.0
185,7,3.3307509787773784,8,0,0.0
186,7,3.3307509787773784,9,0,0.0
187,7,3.3307509787773784,10,0,0.0
188,7,3.3307509787773784,11,0,0.0
189,7,3.3307509787773784,12,0,0.0
190,7,3.3307509787773784,13,0,0.0
191,7,3.3307509787773784,14,0,0.0
192,7,3.3307509787773784,15,0,0.0
193,7,3.3307509787773784,16,0,0.0
194,7,3.3307509787773784,17,0,0.0
195,7,3.3307509787773784,18,0,0.0
196,7,3.3307509787773784,19,0,0.0
197,7,3.3307509787773784,20,0,0.0
198,7,3.3307509787773784,21,0,0.0
199,7,3.3307509787773784,22,0,0.0
200,7,3.3307509787773784,23,0,0.0
201,7,3.3307509787773784,24,0,0.0
202,7,3.3307509787773784,25,0,0.0
203,7,3.3307509787773784,26,0,0.0
204,7,3.3307509787773784,27,0,0.0
205,7,3.3307509787773784,28,0,0.0
206,7,3.3307509787773784,29,0,0.0
207,7,3.3307509787773784,30,0,0.0
208,8,3.3813271367601465,5,4,0.07407407407407407
209,8,3.3813271367601465,6,0,0.0
210,8,3.3813271367601465,7,0,0.0
211,8,3.3813271367601465,8,0,0.0
212,8,3.3813271367601465,9,0,0.0
213,8,3.3813271367601465,10,0,0.0
214,8,3.3813271367601465,11,0,0.0
215,8,3.3813271367601465,12,0,0.0
216,8,3.3813271367601465,13,0,0.0
217,8,3.3813271367601465,14,0,0.0
218,8,3.3813271367601465,15,0,0.0
219,8,3.3813271367601465,16,0,0.0
220,8,3.3813271367601465,17,0,0.0
221,8,3.3813271367601465,18,0,0.0
222,8,3.3813271367601465,19,0,0.0
223,8,3.3813271367601465,20,0,0.0
224,8,3.3813271367601465,21,0,0.0
225,8,3.3813271367601465,22,0,0.0
226,8,3.3813271367601465,23,0,0.0
227,8,3.3813271367601465,24,0,0.0
228,8,3.3813271367601465,25,0,0.0
229,8,3.3813271367601465,26,0,0.0
230,8,3.3813271367601465,27,0,0.0
231,8,3.3813271367601465,28,0,0.0
232,8,3.3813271367601465,29,0,0.0
233,8,3.3813271367601465,30,0,0.0
234,9,3.4063366886611623,5,6,0.1111111111111111
235,9,3.4063366886611623,6,0,0.0
236,9,3.4063366886611623,7,0,0.0
237,9,3.4063366886611623,8,0,0.0
238,9,3.4063366886611623,9,0,0.0
239,9,3.4063366886611623,10,0,0.0
240,9,3.4063366886611623,11,0,0.0
241,9,3.4063366886611623,12,0,0.0
242,9,3.4063366886611623,13,0,0.0
243,9,3.4063366886611623,14,0,0.0
244,9,3.4063366886611623,15,0,0.0
245,9,3.4063366886611623,16,0,0.0
246,9,3.4063366886611623,17,0,0.0
247,9,3.4063366886611623,18,0,0.0
248,9,3.4063366886611623,19,0,0.0
249,9,3.4063366886611623,20,0,0.0
250,9,3.4063366886611623,21,0,0.0
251,9,3.4063366886611623,22,0,0.0
252,9,3.4063366886611623,23,0,0.0
253,9,3.4063366886611623,24,0,0.0
254,9,3.4063366886611623,25,0,0.0
255,9,3.4063366886611623,26,0,0.0
256,9,3.4063366886611623,27,0,0.0
257,9,3.4063366886611623,28,0,0.0
258,9,3.4063366886611623,29,0,0.0
259,9,3.4063366886611623,30,0,0.0
260,10,3.432440830651199,5,6,0.1111111111111111
261,10,3.432440830651199,6,0,0.0
262,10,3.432440830651199,7,0,0.0
263,10,3.432440830651199,8,0,0.0
264,10,3.432440830651199,9,0,0.0
265,10,3.432440830651199,10,0,0.0
266,10,3.432440830651199,11,0,0.0
267,10,3.432440830651199,12,0,0.0
268,10,3.432440830651199,13,0,0.0
269,10,3.432440830651199,14,0,0.0
270,10,3.432440830651199,15,0,0.0
271,10,3.432440830651199,16,0,0.0
272,10,3.432440830651199,17,0,0.0
273,10,3.432440830651199,18,0,0.0
274,10,3.432440830651199,19,0,0.0
275,10,3.432440830651199,20,0,0.0
276,10,3.432440830651199,21,0,0.0
277,10,3.432440830651199,22,0,0.0
278,10,3.432440830651199,23,0,0.0
279,10,3.432440830651199,24,0,0.0
280,10,3.432440830651199,25,0,0.0
281,10,3.432440830651199,26,0,0.0
282,10,3.432440830651199,27,0,0.0
283,10,3.432440830651199,28,0,0.0
284,10,3.432440830651199,29,0,0.0
285,10,3.432440830651199,30,0,0.0
286,11,3.4836037623302767,5,8,0.14814814814814814
287,11,3.4836037623302767,6,0,0.0
288,11,3.4836037623302767,7,0,0.0
289,11,3.4836037623302767,8,0,0.0
290,11,3.4836037623302767,9,0,0.0
291,11,3.4836037623302767,10,0,0.0
292,11,3.4836037623302767,11,0,0.0
293,11,3.4836037623302767,12,0,0.0
294,11,3.4836037623302767,13,0,0.0
295,11,3.4836037623302767,14,0,0.0
296,11,3.4836037623302767,15,0,0.0
297,11,3.4836037623302767,16,0,0.0
298,11,3.4836037623302767,17,0,0.0
299,11,3.4836037623302767,18,0,0.0
300,11,3.4836037623302767,19,0,0.0
301,11,3.4836037623302767,20,0,0.0
302,11,3.4836037623302767,21,0,0.0
303,11,3.4836037623302767,22,0,0.0
304,11,3.4836037623302767,23,0,0.0
305,11,3.4836037623302767,24,0,0.0
306,11,3.4836037623302767,25,0,0.0
307,11,3.4836037623302767,26,0,0.0
308,11,3.4836037623302767,27,0,0.0
309,11,3.4836037623302767,28,0,0.0
310,11,3.4836037623302767,29,0,0.0
311,11,3.4836037623302767,30,0,0.0
312,12,3.5139731529221803,5,6,0.1111111111111111
313,12,3.5139731529221803,6,0,0.0
314,12,3.5139731529221803,7,0,0.0
315,12,3.5139731529221803,8,0,0.0
316,12,3.5139731529221803,9,0,0.0
317,12,3.5139731529221803,10,0,0.0
318,12,3.5139731529221803,11,0,0.0
319,12,3.5139731529221803,12,0,0.0
320,12,3.5139731529221803,13,0,0.0
321,12,3.5139731529221803,14,0,0.0
322,12,3.5139731529221803,15,0,0.0
323,12,3.5139731529221803,16,0,0.0
324,12,3.5139731529221803,17,0,0.0
325,12,3.5139731529221803,18,0,0.0
326,12,3.5139731529221803,19,0,0.0
327,12,3.5139731529221803,20,0,0.0
328,12,3.5139731529221803,21,0,0.0
329,12,3.5139731529221803,22,0,0.0
330,12,3.5139731529221803,23,0,0.0
331,12,3.5139731529221803,24,0,0.0
332,12,3.5139731529221803,25,0,0.0
333,12,3.5139731529221803,26,0,0.0
334,12,3.5139731529221803,27,0,0.0
335,12,3.5139731529221803,28,0,0.0
336,12,3.5139731529221803,29,0,0.0
337,12,3.5139731529221803,30,0,0.0
338,13,3.5355502910822274,5,8,0.14814814814814814
339,13,3.5355502910822274,6,0,0.0
340,13,3.5355502910822274,7,0,0.0
341,13,3.5355502910822274,8,0,0.0
342,13,3.5355502910822274,9,0,0.0
343,13,3.5355502910822274,10,0,0.0
344,13,3.5355502910822274,11,0,0.0
345,13,3.5355502910822274,12,0,0.0
346,13,3.5355502910822274,13,0,0.0
347,13,3.5355502910822274,14,0,0.0
348,13,3.5355502910822274,15,0,0.0
349,13,3.5355502910822274,16,0,0.0
350,13,3.5355502910822274,17,0,0.0
351,13,3.5355502910822274,18,0,0.0
352,13,3.5355502910822274,19,0,0.0
353,13,3.5355502910822274,20,0,0.0
354,13,3.5355502910822274,21,0,0.0
355,13,3.5355502910822274,22,0,0.0
