eigenvalue,degree,nodes_number
4.524688529613949e-14,10,0.012195121951219513
4.524688529613949e-14,11,0.0
4.524688529613949e-14,12,0.0
4.524688529613949e-14,13,0.0
4.524688529613949e-14,14,0.0
4.524688529613949e-14,15,0.0
4.524688529613949e-14,16,0.0
4.524688529613949e-14,17,0.0
4.524688529613949e-14,18,0.0
4.524688529613949e-14,19,0.0
4.524688529613949e-14,20,0.0
4.524688529613949e-14,21,0.0
4.524688529613949e-14,22,0.0
4.524688529613949e-14,23,0.0
4.524688529613949e-14,24,0.0
4.524688529613949e-14,25,0.0
4.524688529613949e-14,26,0.0
4.524688529613949e-14,27,0.0
4.524688529613949e-14,28,0.0
4.524688529613949e-14,29,0.0
4.524688529613949e-14,30,0.0
4.524688529613949e-14,31,0.0
4.524688529613949e-14,32,0.0
4.524688529613949e-14,33,0.0
4.524688529613949e-14,34,0.0
4.524688529613949e-14,35,0.0
4.524688529613949e-14,36,0.0
4.524688529613949e-14,37,0.0
4.524688529613949e-14,38,0.0
4.524688529613949e-14,39,0.0
4.524688529613949e-14,40,0.0
4.524688529613949e-14,41,0.0
4.524688529613949e-14,42,0.0
4.524688529613949e-14,43,0.0
4.524688529613949e-14,45,0.0
4.524688529613949e-14,46,0.0
4.524688529613949e-14,47,0.0
4.524688529613949e-14,48,0.0
4.524688529613949e-14,49,0.0
4.524688529613949e-14,50,0.0
4.524688529613949e-14,51,0.0
4.524688529613949e-14,52,0.0
4.524688529613949e-14,53,0.0
4.524688529613949e-14,54,0.0
4.524688529613949e-14,55,0.0
4.524688529613949e-14,56,0.0
4.524688529613949e-14,58,0.0
4.524688529613949e-14,61,0.0
4.524688529613949e-14,62,0.0
4.524688529613949e-14,64,0.0
4.524688529613949e-14,65,0.0
4.524688529613949e-14,68,0.0
4.524688529613949e-14,69,0.0
4.524688529613949e-14,71,0.0
4.524688529613949e-14,75,0.0
4.524688529613949e-14,79,0.0
4.524688529613949e-14,81,0.0
4.524688529613949e-14,83,0.0
4.524688529613949e-14,88,0.0
4.524688529613949e-14,92,0.0
4.524688529613949e-14,94,0.0
4.524688529613949e-14,95,0.0
4.524688529613949e-14,97,0.0
4.524688529613949e-14,101,0.0
4.524688529613949e-14,102,0.0
4.524688529613949e-14,103,0.0
4.524688529613949e-14,104,0.0
4.524688529613949e-14,107,0.0
4.524688529613949e-14,110,0.0
4.524688529613949e-14,111,0.0
4.524688529613949e-14,119,0.0
4.524688529613949e-14,124,0.0
4.524688529613949e-14,126,0.0
4.524688529613949e-14,127,0.0
4.524688529613949e-14,129,0.0
4.524688529613949e-14,142,0.0
4.524688529613949e-14,149,0.0
7.390490776158028,10,0.012195121951219513
7.390490776158028,11,0.0
7.390490776158028,12,0.0
7.390490776158028,13,0.0
7.390490776158028,14,0.0
7.390490776158028,15,0.0
7.390490776158028,16,0.0
7.390490776158028,17,0.0
7.390490776158028,18,0.0
7.390490776158028,19,0.0
7.390490776158028,20,0.0
7.390490776158028,21,0.0
7.390490776158028,22,0.0
7.390490776158028,23,0.0
7.390490776158028,24,0.0
7.390490776158028,25,0.0
7.390490776158028,26,0.0
7.390490776158028,27,0.0
7.390490776158028,28,0.0
7.390490776158028,29,0.0
7.390490776158028,30,0.0
7.390490776158028,31,0.0
7.390490776158028,32,0.0
7.390490776158028,33,0.0
7.390490776158028,34,0.0
7.390490776158028,35,0.0
7.390490776158028,36,0.0
7.390490776158028,37,0.0
7.390490776158028,38,0.0
7.390490776158028,39,0.0
7.390490776158028,40,0.0
7.390490776158028,41,0.0
7.390490776158028,42,0.0
7.390490776158028,43,0.0
7.390490776158028,45,0.0
7.390490776158028,46,0.0
7.390490776158028,47,0.0
7.390490776158028,48,0.0
7.390490776158028,49,0.0
7.390490776158028,50,0.0
7.390490776158028,51,0.0
7.390490776158028,52,0.0
7.390490776158028,53,0.0
7.390490776158028,54,0.0
7.390490776158028,55,0.0
7.390490776158028,56,0.0
7.390490776158028,58,0.0
7.390490776158028,61,0.0
7.390490776158028,62,0.0
7.390490776158028,64,0.0
7.390490776158028,65,0.0
7.390490776158028,68,0.0
