degree,eigenvalue,mean_density
5,5.0,0.0505050505050505
5,6.0,0.01949317738791423
5,7.0,0.0102880658436214
5,8.0,0.00505050505050505
5,9.0,0.006734006734006734
5,10.0,0.0023148148148148147
5,11.0,0.0023148148148148147
5,12.0,0.007407407407407407
5,13.0,0.0
5,14.0,0.006172839506172839
5,15.0,0.0
5,16.0,0.0
5,17.0,0.0
5,18.0,0.027777777777777776
5,19.0,0.0
5,20.0,0.0
5,21.0,0.004629629629629629
5,22.0,
5,23.0,0.0
5,24.0,
5,25.0,0.0
5,26.0,0.0
5,27.0,0.018518518518518517
5,28.0,0.0
5,29.0,
5,30.0,0.0
6,5.0,0.31941031941031944
6,6.0,0.21052631578947367
6,7.0,0.12912912912912913
6,8.0,0.08599508599508598
6,9.0,0.08108108108108109
6,10.0,0.060810810810810814
6,11.0,0.02702702702702703
6,12.0,0.016216216216216217
6,13.0,0.04864864864864865
6,14.0,0.036036036036036036
6,15.0,0.009009009009009009
6,16.0,0.02702702702702703
6,17.0,0.05405405405405406
6,18.0,0.02702702702702703
6,19.0,0.05405405405405406
6,20.0,0.04054054054054054
6,21.0,0.006756756756756757
6,22.0,
6,23.0,0.02702702702702703
6,24.0,
6,25.0,0.05405405405405406
6,26.0,0.0
6,27.0,0.02702702702702703
6,28.0,0.08108108108108109
6,29.0,
6,30.0,0.0
7,5.0,0.14733542319749215
7,6.0,0.3139745916515427
7,7.0,0.2547892720306513
7,8.0,0.26018808777429464
7,9.0,0.21630094043887144
7,10.0,0.09051724137931035
7,11.0,0.08189655172413793
7,12.0,0.06206896551724138
7,13.0,0.027586206896551724
7,14.0,0.09195402298850575
7,15.0,0.06896551724137932
7,16.0,0.1206896551724138
7,17.0,0.08620689655172414
7,18.0,0.05172413793103448
7,19.0,0.13793103448275862
7,20.0,0.13793103448275862
7,21.0,0.034482758620689655
7,22.0,
7,23.0,0.13793103448275862
7,24.0,
7,25.0,0.20689655172413793
7,26.0,0.0
7,27.0,0.0
7,28.0,0.20689655172413793
7,29.0,
7,30.0,0.0
8,5.0,0.08181818181818182
8,6.0,0.19473684210526315
8,7.0,0.3
8,8.0,0.3181818181818181
8,9.0,0.30000000000000004
8,10.0,0.1625
8,11.0,0.0125
8,12.0,0.04
8,13.0,0.2
8,14.0,0.03333333333333333
8,15.0,0.06666666666666667
8,16.0,0.05
8,17.0,0.05
8,18.0,0.35
8,19.0,0.1
8,20.0,0.0
8,21.0,0.1
8,22.0,
8,23.0,0.4
8,24.0,
8,25.0,0.0
8,26.0,0.0
8,27.0,0.0
8,28.0,0.0
8,29.0,
8,30.0,0.0
9,5.0,0.031818181818181815
9,6.0,0.14210526315789473
9,7.0,0.22777777777777775
9,8.0,0.2
9,9.0,0.38181818181818183
9,10.0,0.4375
9,11.0,0.05
9,12.0,0.12
9,13.0,0.14
9,14.0,0.09999999999999999
9,15.0,0.2333333333333333
9,16.0,0.25
9,17.0,0.3
9,18.0,0.1
9,19.0,0.5
9,20.0,0.2
9,21.0,0.175
9,22.0,
9,23.0,0.3
9,24.0,
9,25.0,0.2
9,26.0,0.2
9,27.0,0.1
9,28.0,0.0
9,29.0,
9,30.0,0.2
10,5.0,0.004545454545454546
10,6.0,0.042105263157894736
10,7.0,0.061111111111111116
10,8.0,0.1272727272727273
10,9.0,0.19090909090909092
10,10.0,0.28750000000000003
10,11.0,0.3875
10,12.0,0.22000000000000003
10,13.0,0.2
10,14.0,0.26666666666666666
10,15.0,0.3
10,16.0,0.35
10,17.0,0.35
10,18.0,0.15000000000000002
10,19.0,0.2
10,20.0,0.05
10,21.0,0.32499999999999996
10,22.0,
10,23.0,0.1
10,24.0,
10,25.0,0.0
10,26.0,0.6
10,27.0,0.3
10,28.0,0.0
10,29.0,
10,30.0,0.8
11,5.0,0.008264462809917356
11,6.0,0.019138755980861243
11,7.0,0.0606060606060606
11,8.0,0.057851239669421496
11,9.0,0.10743801652892561
11,10.0,0.19318181818181818
11,11.0,0.32954545454545453
11,12.0,0.4909090909090909
11,13.0,0.32727272727272727
11,14.0,0.48484848484848486
11,15.0,0.3333333333333333
11,16.0,0.2727272727272727
11,17.0,0.13636363636363635
11,18.0,0.2272727272727273
11,19.0,0.18181818181818182
11,20.0,0.13636363636363635
11,21.0,0.43181818181818177
11,22.0,
11,23.0,0.36363636363636365
11,24.0,
