nodeID_from,nodeID_to,node_label_from,node_label_to
59,98,Civitanova Marche-Montegranaro,Lecce
59,107,Civitanova Marche-Montegranaro,Macerata
59,117,Civitanova Marche-Montegranaro,Molfetta
59,119,Civitanova Marche-Montegranaro,Monopoli
59,120,Civitanova Marche-Montegranaro,Montesilvano
59,137,Civitanova Marche-Montegranaro,Pescara
59,179,Civitanova Marche-Montegranaro,Termoli
59,186,Civitanova Marche-Montegranaro,Trani
60,96,Civitavecchia,Ladispoli-Cerveteri
62,144,Conegliano,Pordenone
62,189,Conegliano,Udine
66,109,Cremona,Mantova
66,134,Cremona,Pavia
70,121,Desio,Monza
70,171,Desio,Seregno
70,172,Desio,Sesto S.Giovanni
72,73,Ercolano Scavi,Ercolano-Miglio D'Oro
72,122,Ercolano Scavi,Napoli Centrale
72,123,Ercolano Scavi,Napoli Gianturco
72,141,Ercolano Scavi,Pioppaino
72,145,Ercolano Scavi,Portici Bellavista
72,146,Ercolano Scavi,Portici Via Liberta
72,161,Ercolano Scavi,San Giorgio a Cremano
72,162,Ercolano Scavi,San Giorgio a Cremano-Cavalli di Bronzo Villa
72,168,Ercolano Scavi,Scafati
72,176,Ercolano Scavi,Somma
72,185,Ercolano Scavi,Torre del Greco
72,195,Ercolano Scavi,Via Sant'Antonio
72,196,Ercolano Scavi,Via del Monte
73,122,Ercolano-Miglio D'Oro,Napoli Centrale
73,123,Ercolano-Miglio D'Oro,Napoli Gianturco
73,141,Ercolano-Miglio D'Oro,Pioppaino
73,145,Ercolano-Miglio D'Oro,Portici Bellavista
73,146,Ercolano-Miglio D'Oro,Portici Via Liberta
73,161,Ercolano-Miglio D'Oro,San Giorgio a Cremano
73,162,Ercolano-Miglio D'Oro,San Giorgio a Cremano-Cavalli di Bronzo Villa
73,168,Ercolano-Miglio D'Oro,Scafati
73,176,Ercolano-Miglio D'Oro,Somma
73,185,Ercolano-Miglio D'Oro,Torre del Greco
73,195,Ercolano-Miglio D'Oro,Via Sant'Antonio
73,196,Ercolano-Miglio D'Oro,Via del Monte
74,75,Faenza,Fano
74,81,Faenza,Forli
74,91,Faenza,Imola
74,136,Faenza,Pesaro
74,153,Faenza,Riccione
74,155,Faenza,Rimini
74,170,Faenza,Senigallia
75,81,Fano,Forli
75,91,Fano,Imola
75,136,Fano,Pesaro
75,153,Fano,Riccione
75,155,Fano,Rimini
75,170,Fano,Senigallia
76,151,Ferrara,Ravenna
76,155,Ferrara,Rimini
76,157,Ferrara,Rovigo
77,78,Firenze Porta Prato,Firenze Statuto
79,98,Foggia,Lecce
79,117,Foggia,Molfetta
79,119,Foggia,Monopoli
79,120,Foggia,Montesilvano
79,137,Foggia,Pescara
79,179,Foggia,Termoli
79,186,Foggia,Trani
80,93,Foligno,Jesi
80,135,Foligno,Perugia
80,180,Foligno,Terni
81,91,Forli,Imola
81,136,Forli,Pesaro
81,153,Forli,Riccione
81,155,Forli,Rimini
81,170,Forli,Senigallia
82,90,Francavilla Fontana,Grottaglie
83,94,Frosinone,La Pigna
83,158,Frosinone,S. Maria Capua Vetere
84,100,Gallarate,Legnano
84,152,Gallarate,Rho
85,101,Gela,Licata
85,116,Gela,Modica
85,150,Gela,Ragusa
85,175,Gela,Siracusa
85,203,Gela,Vittoria
86,95,Genova Via di Francia,La Spezia Migliarina
86,198,Genova Via di Francia,Viareggio
87,189,Gorizia Centrale,Udine
89,103,Grosseto,Livorno Centrale
91,136,Imola,Pesaro
91,153,Imola,Riccione
91,155,Imola,Rimini
91,170,Imola,Senigallia
92,167,Imperia Porto Maurizio,Savona
93,180,Jesi,Terni
94,143,La Pigna,Pomigliano D'Arco
94,149,La Pigna,Pratola Ponte
94,158,La Pigna,S. Maria Capua Vetere
95,198,La Spezia Migliarina,Viareggio
98,117,Lecce,Molfetta
98,119,Lecce,Monopoli
98,120,Lecce,Montesilvano
98,137,Lecce,Pescara
98,179,Lecce,Termoli
98,186,Lecce,Trani
99,121,Lecco,Monza
100,152,Legnano,Rho
101,116,Licata,Modica
101,150,Licata,Ragusa
101,175,Licata,Siracusa
