,time,rho
0,0,0.4095620193915079
1,1,0.3971915747241725
2,2,0.40287529254429955
3,3,0.399197592778335
4,4,0.39518555667001004
5,5,0.37579404881310596
6,6,0.3704446673353394
7,7,0.3781344032096289
8,8,0.3741223671013039
9,9,0.38214643931795383
10,10,0.3433634236041458
11,11,0.31962554329655635
12,12,0.35473085924439984
13,13,0.34536944165830824
14,14,0.3420260782347041
15,15,0.3350050150451354
16,16,0.32464058843196253
17,17,0.3042460715479773
18,18,0.31895687061183553
19,19,0.2945503176195252
20,20,0.2678034102306921
21,21,0.26245402875292545
22,22,0.26178535606820463
23,23,0.2480775660314276
24,24,0.2547642928786359
25,25,0.2293547308592444
26,26,0.2688064192577733
27,27,0.24406552992310265
28,28,0.25142092945503175
29,29,0.20327649615513207
30,30,0.24239384821130056
31,31,0.26111668338348376
32,32,0.22601136743564026
33,33,0.23938482113005682
34,34,0.283851554663992
35,35,0.26312270143764627
36,36,0.27181544633901705
37,37,0.23905048478769642
38,38,0.2089602139752591
39,39,0.17352056168505517
40,40,0.19893012370444668
41,41,0.2046138415245737
42,42,0.21063189568706117
43,43,0.19692410565028418
44,44,0.2042795051822133
45,45,0.20929455031761954
46,46,0.22099632230023403
47,47,0.25208960213975257
48,48,0.24573721163490472
49,49,0.2771648278167837
50,50,0.23002340354396522
51,51,0.2577733199598796
52,52,0.2751588097626212
53,53,0.28318288197927116
54,54,0.3122701437646272
55,55,0.3396857238381812
56,56,0.352390504847877
57,57,0.36375794048813104
58,58,0.3416917418923437
59,59,0.3319959879638917
60,60,0.34971581410899366
61,61,0.3259779338014042
62,62,0.3343363423604146
63,63,0.37479103978602474
64,64,0.3784687395519893
65,65,0.3731193580742227
66,66,0.37646272149782684
67,67,0.3971915747241725
68,68,0.37679705784018724
69,69,0.3801404212637914
70,70,0.40421263791374124
71,71,0.41624874623871616
72,72,0.41624874623871616
73,73,0.416917418923437
74,74,0.41190237378803074
75,75,0.4075560013373454
76,76,0.40655299231026415
77,77,0.39518555667001004
78,78,0.3998662654630558
79,79,0.3898361751922434
80,80,0.38615847542627885
81,81,0.4035439652290204
82,82,0.38682714811099966
83,83,0.38883316616516217
84,84,0.3801404212637914
85,85,0.3834837846873955
86,86,0.3784687395519893
87,87,0.38482113005683716
88,88,0.3908391842193246
89,89,0.3781344032096289
90,90,0.36676696756937477
91,91,0.39551989301237045
92,92,0.3834837846873955
93,93,0.3971915747241725
94,94,0.3928452022734871
95,95,0.3781344032096289
96,96,0.40421263791374124
97,97,0.41223671013039115
98,98,0.39585422935473086
99,99,0.3818121029755934
100,100,0.3891675025075226
101,101,0.38582413908391844
102,102,0.40254095620193914
103,103,0.36843864928117687
104,104,0.37512537612838515
105,105,0.3600802407221665
106,106,0.3891675025075226
107,107,0.3891675025075226
108,108,0.362086258776329
109,109,0.3617519224339686
110,110,0.3413574055499833
111,111,0.3436977599465062
112,112,0.3326646606486125
113,113,0.31293881644934807
114,114,0.344366432631227
115,115,0.3687729856235373
116,116,0.3731193580742227
117,117,0.3436977599465062
118,118,0.31828819792711466
119,119,0.2965563356736877
120,120,0.3303243062520896
121,121,0.3263122701437646
122,122,0.3463724506853895
123,123,0.32831828819792713
124,124,0.344366432631227
125,125,0.3557338682714811
126,126,0.371782012704781
127,127,0.37512537612838515
128,128,0.38649281176863926
129,129,0.3788030758943497
130,130,0.40454697425610164
131,131,0.39618856569709127
132,132,0.41190237378803074
133,133,0.3995319291206954
134,134,0.3918421932464059
135,135,0.39585422935473086
136,136,0.4002006018054162
137,137,0.39585422935473086
138,138,0.39384821130056835
139,139,0.40722166499498497
140,140,0.38582413908391844
141,141,0.36743564025409564
142,142,0.34002006018054165
143,143,0.34536944165830824
144,144,0.3517218321631561
145,145,0.34837846873955197
146,146,0.3426947509194249
147,147,0.35874289535272486
148,148,0.3507188231360749
149,149,0.3343363423604146
150,150,0.3707790036776998
151,151,0.34737545971247075
152,152,0.3510531594784353
153,153,0.354062186559679
154,154,0.3577398863256436
155,155,0.40688732865262456
156,156,0.4108993647609495
157,157,0.39752591106653296
158,158,0.3985289200936142
159,159,0.3818121029755934
160,160,0.38415245737211634
161,161,0.39317953861584753
162,162,0.399197592778335
163,163,0.3998662654630558
164,164,0.39618856569709127
165,165,0.39351387495820794
166,166,0.41190237378803074
167,167,0.41156803744567033
168,168,0.4185891006352391
169,169,0.39752591106653296
170,170,0.38682714811099966
171,171,0.38716148445336007
172,172,0.3818121029755934
173,173,0.36342360414577063
174,174,0.3350050150451354
175,175,0.34737545971247075
176,176,0.3460381143430291
177,177,0.35606820461384153
178,178,0.3440320962888666
179,179,0.32464058843196253
180,180,0.34068873286526247
181,181,0.3316616516215313
182,182,0.33567368772985623
183,183,0.34035439652290206
184,184,0.3513874958207957
185,185,0.3604145770645269
186,186,0.36108324974924777
187,187,0.37713139418254765
188,188,0.38548980274155803
189,189,0.38883316616516217
190,190,0.3791374122367101
191,191,0.362086258776329
192,192,0.3333333333333333
193,193,0.31126713473754597
194,194,0.3142761618187897
195,195,0.3423604145770645
196,196,0.3731193580742227
197,197,0.3734536944165831
198,198,0.3413574055499833
199,199,0.3039117352056169
200,200,0.3022400534938148
201,201,0.2965563356736877
202,202,0.29722500835840854
203,203,0.316950852557673
204,204,0.29923102641257104
205,205,0.3059177532597793
206,206,0.2764961551320629
207,207,0.26245402875292545
208,208,0.293547308592444
209,209,0.29087261785356067
210,210,0.24874623871614845
211,211,0.26312270143764627
212,212,0.28318288197927116
213,213,0.27148110999665664
214,214,0.2848545636910732
