,temperature,energy,std_energy,abs_magnetization,std_magnetization,heat,std_heat,susceptibility,std_susceptibility
0,1.0,-179.4,2.3065125189341593,0.9976,0.009499473669630342,5.32,1.064,9.024000000000015e-05,1.804800000000003e-05
1,1.1224489795918366,-176.68,4.843304656946536,0.9843999999999999,0.024096472770926455,18.618743008264467,3.7237486016528933,0.0005172974545454547,0.00010345949090909094
2,1.2448979591836735,-176.12,4.145551832989186,0.9815999999999999,0.021850400453996267,11.089122708949207,2.2178245417898412,0.00038351737704918045,7.670347540983609e-05
3,1.3673469387755102,-174.88,5.3986665020169555,0.9787999999999998,0.023120553626589498,15.588903007351302,3.1177806014702605,0.00039094686567164237,7.818937313432848e-05
4,1.489795918367347,-167.72,10.665908306375037,0.944,0.047833042972405586,51.25569555263651,10.251139110527303,0.001535780821917808,0.0003071561643835616
5,1.6122448979591837,-164.2,9.824459272652108,0.9323999999999998,0.050420630698157665,37.132594135555195,7.426518827111039,0.0015768324050632904,0.0003153664810126581
6,1.7346938775510203,-163.96,9.419044537531393,0.9252000000000001,0.04846607060614673,29.482751335640135,5.896550267128028,0.0013541063529411764,0.0002708212705882353
7,1.8571428571428572,-139.64,14.140381890175384,0.6304,0.19167639395606334,57.97378461538461,11.594756923076922,0.019782990769230766,0.003956598153846153
8,1.9795918367346939,-134.84,13.529759790920162,0.7175999999999999,0.10610485380037993,46.71204319268785,9.34240863853757,0.005687152164948453,0.0011374304329896908
9,2.1020408163265305,-116.4,14.022838514366482,0.5848000000000001,0.07915150030163673,44.50302950325195,8.90060590065039,0.0029804178640776696,0.000596083572815534
10,2.2244897959183674,-126.04,17.043426885459393,0.6023999999999999,0.20558754826107536,58.702014847235084,11.740402969447018,0.019000419816513757,0.0038000839633027515
11,2.3469387755102042,-104.08,16.756897087468193,0.39959999999999996,0.22843782523916656,50.978104620037804,10.195620924007562,0.02223485356521739,0.004446970713043478
12,2.4693877551020407,-99.04,20.345967659465106,0.4276,0.23812232150724552,67.88567163445121,13.577134326890244,0.022962064132231407,0.004592412826446282
13,2.5918367346938775,-88.88,19.041680598098477,0.32160000000000005,0.27425068823979276,53.97532553785108,10.795065107570217,0.029019358740157482,0.0058038717480314965
14,2.7142857142857144,-80.4,17.09736821853001,0.1104,0.3162338375316595,39.67778393351801,7.935556786703602,0.036843520000000005,0.007368704000000001
15,2.836734693877551,-76.12,16.86847948097279,0.18800000000000006,0.14571204480069588,35.36017729931164,7.072035459862327,0.007484661870503598,0.0014969323741007197
16,2.9591836734693877,-68.96,17.13121128233494,0.064,0.22148589119851406,33.51446556004756,6.702893112009512,0.01657754482758621,0.0033155089655172425
17,3.0816326530612246,-69.4,16.915082027587097,0.08039999999999999,0.2619157116325785,30.129122406911975,6.025824481382395,0.022260875231788078,0.004452175046357616
18,3.204081632653061,-63.4,15.835403373454053,0.009599999999999997,0.14523029986886346,24.425930463710497,4.885186092742099,0.006582803566878981,0.0013165607133757964
19,3.326530612244898,-60.16,13.48682319895979,0.0528,0.1837720326926815,16.437519455003955,3.287503891000791,0.010152367116564417,0.0020304734233128835
20,3.4489795918367347,-63.56,14.9146371058769,0.1852,0.16301214678667353,18.700108763698754,3.740021752739751,0.0077045860355029585,0.0015409172071005918
21,3.571428571428571,-54.16,14.090223561036922,0.1144,0.14389106991054032,15.56509696,3.113019392,0.0057972992000000015,0.0011594598400000004
22,3.693877551020408,-58.48,15.18715246515949,0.0007999999999999999,0.1912886823625486,16.90393118647172,3.3807862372943442,0.00990594828729282,0.001981189657458564
23,3.816326530612245,-52.96,15.529275578725494,0.046799999999999994,0.16992280600319665,16.558132014069606,3.3116264028139213,0.007565851550802139,0.001513170310160428
24,3.9387755102040813,-58.04,14.562911796752738,0.0216,0.21157844880800122,13.67017204220248,2.7340344084404964,0.011365318963730569,0.0022730637927461136
25,4.061224489795919,-51.04,12.008263821219119,0.013200000000000003,0.17534468911261614,8.742717567738188,1.7485435135476377,0.007570564020100504,0.001514112804020101
26,4.183673469387755,-49.68,13.76,0.012800000000000002,0.2055143790589846,10.817360561570494,2.163472112314099,0.010095472390243904,0.002019094478048781
27,4.3061224489795915,-40.04,14.645081085470302,0.0148,0.1750341680929755,11.566735661822511,2.3133471323645023,0.007114744265402845,0.0014229488530805691
28,4.428571428571429,-37.04,13.524732899395833,0.016800000000000002,0.17275925445544155,9.326744640998957,1.8653489281997915,0.006739365161290323,0.0013478730322580646
29,4.551020408163265,-44.0,11.579291860904103,0.08440000000000002,0.15467591926347166,6.473608558386455,1.294721711677291,0.005256983677130045,0.0010513967354260092
30,4.673469387755102,-36.52,14.733960770953614,0.015200000000000002,0.13743711289167856,9.939401033542458,1.9878802067084917,0.004041742532751092,0.0008083485065502184
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
