,n_step,energy,average_magnetization
0,0.0,-238.0,0.075
1,1.0,-338.0,0.115
2,2.0,-378.0,0.135
3,3.0,-382.0,0.125
4,4.0,-390.0,0.105
5,5.0,-410.0,0.005
6,6.0,-384.0,0.025
7,7.0,-402.0,0.07
8,8.0,-422.0,0.135
9,9.0,-396.0,0.09
10,10.0,-342.0,-0.01
11,11.0,-384.0,-0.07
12,12.0,-388.0,-0.11
13,13.0,-380.0,-0.14
14,14.0,-398.0,-0.245
15,15.0,-410.0,-0.3
16,16.0,-440.0,-0.36
17,17.0,-448.0,-0.35
18,18.0,-430.0,-0.39
19,19.0,-450.0,-0.35
20,20.0,-456.0,-0.38
21,21.0,-452.0,-0.45
22,22.0,-430.0,-0.34
23,23.0,-514.0,-0.31
24,24.0,-452.0,-0.285
25,25.0,-448.0,-0.285
26,26.0,-462.0,-0.33
27,27.0,-488.0,-0.32
28,28.0,-532.0,-0.395
29,29.0,-546.0,-0.495
30,30.0,-532.0,-0.41
31,31.0,-486.0,-0.36
32,32.0,-464.0,-0.375
33,33.0,-502.0,-0.38
34,34.0,-546.0,-0.4
35,35.0,-524.0,-0.395
36,36.0,-526.0,-0.37
37,37.0,-532.0,-0.405
38,38.0,-528.0,-0.365
39,39.0,-570.0,-0.39
40,40.0,-490.0,-0.36
41,41.0,-482.0,-0.36
42,42.0,-430.0,-0.315
43,43.0,-454.0,-0.23
44,44.0,-426.0,-0.24
45,45.0,-464.0,-0.2
46,46.0,-474.0,-0.245
47,47.0,-452.0,-0.295
48,48.0,-502.0,-0.26
49,49.0,-474.0,-0.31
50,50.0,-444.0,-0.22
51,51.0,-450.0,-0.245
52,52.0,-464.0,-0.29
53,53.0,-486.0,-0.355
54,54.0,-492.0,-0.305
55,55.0,-482.0,-0.37
56,56.0,-500.0,-0.435
57,57.0,-534.0,-0.46
58,58.0,-466.0,-0.365
59,59.0,-482.0,-0.44
60,60.0,-570.0,-0.48
61,61.0,-540.0,-0.43
62,62.0,-516.0,-0.4
63,63.0,-484.0,-0.4
64,64.0,-514.0,-0.35
65,65.0,-474.0,-0.34
66,66.0,-462.0,-0.425
67,67.0,-456.0,-0.345
68,68.0,-480.0,-0.275
69,69.0,-472.0,-0.225
70,70.0,-474.0,-0.24
71,71.0,-426.0,-0.185
72,72.0,-400.0,-0.135
73,73.0,-388.0,-0.07
74,74.0,-404.0,-0.16
75,75.0,-408.0,-0.095
76,76.0,-430.0,-0.11
77,77.0,-416.0,-0.125
78,78.0,-396.0,-0.15
79,79.0,-414.0,-0.155
80,80.0,-416.0,0.04
81,81.0,-420.0,0.055
82,82.0,-466.0,0.015
83,83.0,-518.0,0.035
84,84.0,-476.0,0.0
85,85.0,-468.0,0.05
86,86.0,-474.0,0.04
87,87.0,-424.0,0.12
88,88.0,-418.0,0.215
89,89.0,-456.0,0.21
90,90.0,-478.0,0.315
91,91.0,-488.0,0.275
92,92.0,-470.0,0.22
93,93.0,-488.0,0.3
94,94.0,-498.0,0.245
95,95.0,-500.0,0.245
96,96.0,-474.0,0.2
97,97.0,-474.0,0.235
98,98.0,-458.0,0.2
99,99.0,-476.0,0.14
100,100.0,-514.0,0.265
101,101.0,-524.0,0.31
102,102.0,-496.0,0.345
103,103.0,-468.0,0.305
104,104.0,-508.0,0.29
105,105.0,-516.0,0.23
106,106.0,-486.0,0.22
107,107.0,-472.0,0.23
108,108.0,-520.0,0.24
109,109.0,-496.0,0.19
110,110.0,-506.0,0.29
111,111.0,-526.0,0.29
112,112.0,-530.0,0.245
113,113.0,-510.0,0.26
114,114.0,-480.0,0.2
115,115.0,-518.0,0.255
116,116.0,-502.0,0.265
117,117.0,-524.0,0.29
118,118.0,-520.0,0.255
119,119.0,-480.0,0.24
120,120.0,-458.0,0.305
121,121.0,-464.0,0.335
122,122.0,-462.0,0.36
123,123.0,-468.0,0.4
124,124.0,-480.0,0.485
125,125.0,-520.0,0.485
126,126.0,-470.0,0.54
127,127.0,-512.0,0.475
128,128.0,-452.0,0.49
129,129.0,-486.0,0.555
130,130.0,-494.0,0.55
131,131.0,-522.0,0.64
132,132.0,-490.0,0.655
133,133.0,-542.0,0.675
134,134.0,-540.0,0.695
135,135.0,-524.0,0.65
136,136.0,-530.0,0.645
137,137.0,-528.0,0.695
138,138.0,-494.0,0.555
139,139.0,-500.0,0.565
140,140.0,-470.0,0.555
141,141.0,-466.0,0.47
142,142.0,-492.0,0.535
143,143.0,-508.0,0.62
144,144.0,-478.0,0.6
145,145.0,-476.0,0.62
146,146.0,-516.0,0.69
147,147.0,-560.0,0.745
148,148.0,-516.0,0.76
149,149.0,-506.0,0.75
150,150.0,-560.0,0.79
151,151.0,-514.0,0.78
152,152.0,-548.0,0.785
153,153.0,-568.0,0.815
154,154.0,-568.0,0.805
155,155.0,-510.0,0.74
156,156.0,-574.0,0.785
157,157.0,-536.0,0.72
158,158.0,-520.0,0.705
159,159.0,-492.0,0.725
160,160.0,-550.0,0.725
161,161.0,-516.0,0.655
162,162.0,-512.0,0.655
163,163.0,-466.0,0.61
164,164.0,-488.0,0.59
165,165.0,-492.0,0.59
166,166.0,-444.0,0.535
167,167.0,-486.0,0.55
168,168.0,-452.0,0.45
169,169.0,-360.0,0.34
170,170.0,-398.0,0.27
171,171.0,-440.0,0.355
172,172.0,-418.0,0.415
173,173.0,-424.0,0.365
174,174.0,-418.0,0.44
175,175.0,-472.0,0.495
176,176.0,-464.0,0.59
177,177.0,-474.0,0.505
178,178.0,-472.0,0.48
179,179.0,-492.0,0.47
180,180.0,-440.0,0.485
181,181.0,-496.0,0.485
182,182.0,-510.0,0.56
183,183.0,-500.0,0.6
184,184.0,-472.0,0.59
185,185.0,-502.0,0.665
186,186.0,-540.0,0.655
187,187.0,-516.0,0.645
188,188.0,-536.0,0.65
189,189.0,-550.0,0.685
190,190.0,-568.0,0.685
191,191.0,-572.0,0.71
192,192.0,-580.0,0.71
193,193.0,-596.0,0.715
194,194.0,-580.0,0.725
195,195.0,-552.0,0.63
196,196.0,-558.0,0.655
197,197.0,-588.0,0.7
198,198.0,-558.0,0.64
199,199.0,-552.0,0.675
200,200.0,-572.0,0.71
201,201.0,-554.0,0.695
202,202.0,-564.0,0.68
203,203.0,-504.0,0.59
204,204.0,-446.0,0.51
205,205.0,-432.0,0.475
206,206.0,-422.0,0.435
207,207.0,-426.0,0.36
208,208.0,-422.0,0.38
209,209.0,-402.0,0.36
210,210.0,-472.0,0.455
211,211.0,-446.0,0.46
212,212.0,-498.0,0.555
213,213.0,-506.0,0.58
214,214.0,-530.0,0.56
215,215.0,-502.0,0.55
216,216.0,-484.0,0.605
217,217.0,-488.0,0.61
218,218.0,-490.0,0.635
219,219.0,-512.0,0.685
220,220.0,-490.0,0.64
221,221.0,-490.0,0.65
222,222.0,-486.0,0.655
223,223.0,-468.0,0.555
224,224.0,-412.0,0.475
225,225.0,-470.0,0.545
226,226.0,-482.0,0.575
227,227.0,-512.0,0.61
228,228.0,-492.0,0.605
229,229.0,-496.0,0.6
230,230.0,-498.0,0.605
231,231.0,-488.0,0.545
232,232.0,-514.0,0.565
233,233.0,-514.0,0.565
234,234.0,-500.0,0.62
235,235.0,-518.0,0.635
236,236.0,-518.0,0.575
237,237.0,-498.0,0.605
238,238.0,-466.0,0.59
239,239.0,-496.0,0.59
240,240.0,-470.0,0.565
241,241.0,-456.0,0.535
242,242.0,-406.0,0.465
243,243.0,-440.0,0.595
244,244.0,-450.0,0.54
245,245.0,-504.0,0.62
246,246.0,-490.0,0.59
247,247.0,-502.0,0.47
248,248.0,-476.0,0.455
249,249.0,-502.0,0.515
250,250.0,-488.0,0.44
251,251.0,-480.0,0.465
252,252.0,-458.0,0.42
253,253.0,-470.0,0.4
254,254.0,-458.0,0.37
255,255.0,-454.0,0.445
256,256.0,-420.0,0.475
257,257.0,-426.0,0.46
258,258.0,-432.0,0.34
259,259.0,-454.0,0.33
260,260.0,-450.0,0.24
261,261.0,-496.0,0.225
262,262.0,-454.0,0.19
263,263.0,-400.0,0.27
264,264.0,-396.0,0.25
265,265.0,-424.0,0.2
266,266.0,-386.0,0.155
267,267.0,-450.0,0.205
268,268.0,-418.0,0.22
269,269.0,-442.0,0.275
270,270.0,-466.0,0.305
271,271.0,-494.0,0.22
272,272.0,-490.0,0.18
273,273.0,-506.0,0.135
274,274.0,-476.0,0.14
275,275.0,-456.0,0.215
