,n_step,energy,average_magnetization
199,199.0,-560.0,-0.165
200,200.0,-598.0,-0.24
201,201.0,-606.0,-0.26
202,202.0,-594.0,-0.24
203,203.0,-580.0,-0.295
204,204.0,-640.0,-0.3
205,205.0,-684.0,-0.28
206,206.0,-674.0,-0.3
207,207.0,-666.0,-0.275
208,208.0,-652.0,-0.305
209,209.0,-626.0,-0.265
210,210.0,-636.0,-0.28
211,211.0,-602.0,-0.31
212,212.0,-676.0,-0.365
213,213.0,-654.0,-0.34
214,214.0,-618.0,-0.36
215,215.0,-630.0,-0.36
216,216.0,-632.0,-0.325
217,217.0,-658.0,-0.325
218,218.0,-654.0,-0.33
219,219.0,-628.0,-0.345
220,220.0,-634.0,-0.385
221,221.0,-628.0,-0.355
222,222.0,-636.0,-0.33
223,223.0,-608.0,-0.325
224,224.0,-652.0,-0.275
225,225.0,-626.0,-0.3
226,226.0,-636.0,-0.345
227,227.0,-640.0,-0.37
228,228.0,-616.0,-0.37
229,229.0,-616.0,-0.4
230,230.0,-612.0,-0.4
231,231.0,-572.0,-0.37
232,232.0,-582.0,-0.38
233,233.0,-626.0,-0.385
234,234.0,-606.0,-0.395
235,235.0,-600.0,-0.42
236,236.0,-640.0,-0.465
237,237.0,-596.0,-0.48
238,238.0,-596.0,-0.475
239,239.0,-560.0,-0.435
240,240.0,-580.0,-0.44
241,241.0,-586.0,-0.425
242,242.0,-634.0,-0.425
243,243.0,-588.0,-0.45
244,244.0,-586.0,-0.41
245,245.0,-620.0,-0.45
246,246.0,-590.0,-0.42
247,247.0,-582.0,-0.445
248,248.0,-582.0,-0.455
249,249.0,-550.0,-0.46
250,250.0,-558.0,-0.485
251,251.0,-532.0,-0.485
252,252.0,-576.0,-0.525
253,253.0,-574.0,-0.58
254,254.0,-566.0,-0.58
255,255.0,-610.0,-0.645
256,256.0,-608.0,-0.66
257,257.0,-598.0,-0.695
258,258.0,-624.0,-0.72
259,259.0,-656.0,-0.76
260,260.0,-656.0,-0.755
261,261.0,-630.0,-0.665
262,262.0,-670.0,-0.68
263,263.0,-670.0,-0.715
264,264.0,-666.0,-0.685
265,265.0,-644.0,-0.71
266,266.0,-654.0,-0.72
267,267.0,-632.0,-0.715
268,268.0,-642.0,-0.7
269,269.0,-650.0,-0.715
270,270.0,-636.0,-0.685
271,271.0,-622.0,-0.69
272,272.0,-654.0,-0.715
273,273.0,-624.0,-0.7
274,274.0,-638.0,-0.685
275,275.0,-622.0,-0.675
276,276.0,-624.0,-0.72
277,277.0,-654.0,-0.74
278,278.0,-648.0,-0.705
279,279.0,-634.0,-0.695
280,280.0,-634.0,-0.735
281,281.0,-630.0,-0.735
282,282.0,-618.0,-0.69
283,283.0,-638.0,-0.695
284,284.0,-634.0,-0.68
285,285.0,-652.0,-0.685
286,286.0,-650.0,-0.69
287,287.0,-600.0,-0.66
288,288.0,-610.0,-0.65
289,289.0,-638.0,-0.685
290,290.0,-612.0,-0.645
291,291.0,-620.0,-0.655
292,292.0,-598.0,-0.665
293,293.0,-616.0,-0.685
294,294.0,-572.0,-0.605
295,295.0,-612.0,-0.615
296,296.0,-602.0,-0.575
297,297.0,-550.0,-0.54
298,298.0,-562.0,-0.535
299,299.0,-584.0,-0.595
300,300.0,-600.0,-0.66
301,301.0,-612.0,-0.645
302,302.0,-620.0,-0.67
303,303.0,-588.0,-0.64
304,304.0,-640.0,-0.725
305,305.0,-644.0,-0.76
306,306.0,-630.0,-0.76
307,307.0,-636.0,-0.795
308,308.0,-640.0,-0.78
309,309.0,-610.0,-0.785
310,310.0,-650.0,-0.77
311,311.0,-642.0,-0.78
312,312.0,-652.0,-0.765
313,313.0,-662.0,-0.79
314,314.0,-650.0,-0.815
315,315.0,-636.0,-0.79
316,316.0,-624.0,-0.775
317,317.0,-608.0,-0.75
318,318.0,-598.0,-0.685
319,319.0,-570.0,-0.67
320,320.0,-620.0,-0.75
321,321.0,-628.0,-0.75
322,322.0,-632.0,-0.78
323,323.0,-664.0,-0.8
324,324.0,-644.0,-0.78
325,325.0,-648.0,-0.78
326,326.0,-632.0,-0.77
327,327.0,-616.0,-0.77
328,328.0,-640.0,-0.785
329,329.0,-680.0,-0.835
330,330.0,-650.0,-0.81
331,331.0,-634.0,-0.8
332,332.0,-644.0,-0.79
333,333.0,-628.0,-0.765
334,334.0,-654.0,-0.795
335,335.0,-632.0,-0.785
336,336.0,-656.0,-0.82
337,337.0,-688.0,-0.84
338,338.0,-694.0,-0.825
339,339.0,-686.0,-0.81
340,340.0,-650.0,-0.795
341,341.0,-652.0,-0.73
342,342.0,-642.0,-0.715
343,343.0,-614.0,-0.665
344,344.0,-604.0,-0.645
345,345.0,-626.0,-0.65
346,346.0,-618.0,-0.65
347,347.0,-624.0,-0.625
348,348.0,-612.0,-0.63
349,349.0,-620.0,-0.7
350,350.0,-636.0,-0.67
351,351.0,-618.0,-0.68
352,352.0,-608.0,-0.65
353,353.0,-608.0,-0.64
354,354.0,-578.0,-0.65
355,355.0,-622.0,-0.73
356,356.0,-610.0,-0.745
357,357.0,-616.0,-0.755
358,358.0,-622.0,-0.765
359,359.0,-618.0,-0.73
360,360.0,-624.0,-0.78
361,361.0,-644.0,-0.795
362,362.0,-682.0,-0.835
363,363.0,-686.0,-0.86
364,364.0,-670.0,-0.865
365,365.0,-672.0,-0.86
