node_ID,node_label,latitude,longitude,country_name,country_IS03
1,Ajdovscina,45.88593649999984,13.899704499999785,Slovenia,SI
2,Brezice,45.92371399999985,15.589871999999787,Slovenia,SI
3,Celje,46.22857949999985,15.267710999999792,Slovenia,SI
4,Crnomelj,45.57968199999985,15.19059999999979,Slovenia,SI
5,Domzale,46.139256499999846,14.592607499999787,Slovenia,SI
6,Grosuplje,45.956026999999835,14.652526999999793,Slovenia,SI
7,Hrastnik,46.12344199999984,15.094469999999774,Slovenia,SI
8,Jesenice,46.43640499999984,14.054720499999775,Slovenia,SI
9,Kamnik,46.220695499999835,14.603764499999784,Slovenia,SI
10,Koper,45.539348999999845,13.738177499999779,Slovenia,SI
11,Kranj,46.238927999999845,14.348423499999797,Slovenia,SI
12,Krsko,45.95605149999986,15.493200999999772,Slovenia,SI
13,Litija,46.05796699999985,14.825257499999793,Slovenia,SI
14,Ljubljana,46.05883849999984,14.513026999999795,Slovenia,SI
15,Logatec,45.91777949999985,14.235485999999781,Slovenia,SI
16,Maribor,46.563851999999855,15.658744499999784,Slovenia,SI
17,Maribor Studenci,46.55451499999984,15.634957999999784,Slovenia,SI
18,Medvode,46.138051999999846,14.412358499999783,Slovenia,SI
19,Murska Sobota,46.65951349999983,16.17164699999978,Slovenia,SI
20,Nova Gorica,45.95529999999985,13.635205499999785,Slovenia,SI
21,Novo mesto,45.810944499999835,15.155907999999783,Slovenia,SI
22,Postojna,45.773085999999836,14.221284999999796,Slovenia,SI
23,Ptuj,46.42224199999984,15.878473999999784,Slovenia,SI
24,Radovljica,46.340546499999846,14.173828499999786,Slovenia,SI
25,Sezana,45.704262999999855,13.863610499999794,Slovenia,SI
26,Skofja Loka,46.17418949999984,14.335560999999785,Slovenia,SI
27,Slovenska Bistrica,46.36331799999985,15.597901999999777,Slovenia,SI
28,Trbovlje,46.12642099999985,15.036696999999776,Slovenia,SI
29,Velenje,46.363312499999836,15.104154499999794,Slovenia,SI
30,Zagorje,46.12077499999984,14.99105499999979,Slovenia,SI
