node_ID,node_label,latitude,longitude,country_name,country_IS03
1,Aleksince,48.36371499999984,17.94278849999978,Slovakia,SK
2,Andac,48.383973499999854,17.969689499999788,Slovakia,SK
3,Bahon,48.30546449999986,17.45009749999977,Slovakia,SK
4,Banov,48.04564349999984,18.167499499999792,Slovakia,SK
5,Banovce nad Bebravou,48.72037299999985,18.25122849999977,Slovakia,SK
6,Banovce nad Ondavou,48.679061999999846,21.83459449999978,Slovakia,SK
7,Banska Bela,48.49332499999986,18.95499849999979,Slovakia,SK
8,Banska Bela,48.47323449999985,18.947877499999777,Slovakia,SK
9,Banska Bystrica,48.73480199999983,19.163411999999795,Slovakia,SK
10,Banska Bystrica mesto,48.731460999999854,19.14573649999977,Slovakia,SK
11,Banska Stiavnicka,48.444074999999856,18.915362499999787,Slovakia,SK
12,Bansky Studenec,48.454946999999834,18.93687349999979,Slovakia,SK
13,Bardejov,49.29668699999985,21.283117999999774,Slovakia,SK
14,Bartosova Lehotka,48.63796549999984,18.91175549999977,Slovakia,SK
15,Bartosovce,49.19725999999986,21.27790749999977,Slovakia,SK
16,Belina,48.242170499999844,19.84135349999977,Slovakia,SK
17,Belusa,49.056527499999845,18.31301549999978,Slovakia,SK
18,Benus,48.82884749999985,19.75979749999979,Slovakia,SK
19,Bernolakovo,48.19790399999985,17.306083499999772,Slovakia,SK
20,Besa,48.138085999999845,18.40189049999978,Slovakia,SK
21,Bielovec,47.996451499999836,18.774579999999787,Slovakia,SK
22,Bina,47.92014449999985,18.635095499999778,Slovakia,SK
23,Binovce,48.501284499999855,17.472688499999776,Slovakia,SK
24,Blhovce,48.278985499999834,19.95648849999978,Slovakia,SK
25,Bodza,47.83499899999984,17.820371499999794,Slovakia,SK
26,Bohdanovce,48.650314999999836,21.40079849999978,Slovakia,SK
27,Bohunovo,48.51185249999983,20.380423999999778,Slovakia,SK
28,Boleraz,48.47017149999985,17.498500999999777,Slovakia,SK
29,Borsa,48.393879999999854,21.70738899999978,Slovakia,SK
30,Borsky Mikulas,48.64236149999985,17.191765999999774,Slovakia,SK
31,Bosany,48.594493999999855,18.245142499999787,Slovakia,SK
32,Bratislava hlavna stanica,48.159129499999835,17.106213999999795,Slovakia,SK
33,Bratislava-Lamac,48.184457999999836,17.051339999999783,Slovakia,SK
34,Bratislava-Nove Mesto,48.17166399999985,17.14738749999978,Slovakia,SK
35,Bratislava-Petrzalka,48.120145499999836,17.098258499999787,Slovakia,SK
36,Bratislava-Raca,48.20892849999984,17.16109099999977,Slovakia,SK
37,Bratislava-Vajnory,48.19487299999983,17.206950999999776,Slovakia,SK
38,Bratislava-vychod,48.19596399999983,17.175240499999774,Slovakia,SK
39,Brekov,48.90340099999983,21.84169849999978,Slovakia,SK
40,Brestovany,48.38213749999986,17.691348999999775,Slovakia,SK
41,Brestovec,48.78607099999985,17.55756649999978,Slovakia,SK
42,Breznicka,48.42321049999984,19.739811999999773,Slovakia,SK
43,Brezno,48.801112499999846,19.629946999999788,Slovakia,SK
44,Brezno-Rohozna,48.79534099999984,19.70786099999978,Slovakia,SK
45,Brodske,48.69256049999984,17.02302199999977,Slovakia,SK
46,Brunovce,48.68312349999985,17.845640499999774,Slovakia,SK
47,Brusno,48.79181649999984,19.386282999999793,Slovakia,SK
48,Budkovce,48.631335999999834,21.924789499999775,Slovakia,SK
49,Bukova,48.55138849999983,17.45052199999978,Slovakia,SK
50,Busovce,49.21901199999985,20.493481999999773,Slovakia,SK
51,Bystre,49.003539499999846,21.54177999999979,Slovakia,SK
52,Bystricany,48.65887349999986,18.489495999999775,Slovakia,SK
53,Bytca,49.206510999999836,18.551620999999784,Slovakia,SK
54,Bytcica,49.18689149999983,18.72836799999979,Slovakia,SK
55,Bzenica,48.53403899999984,18.74401249999977,Slovakia,SK
56,Bziny,49.22939899999983,19.320375499999784,Slovakia,SK
57,Cachtice,48.721438499999834,17.798547999999784,Slovakia,SK
58,Cadca,49.44406499999985,18.788682499999794,Slovakia,SK
59,Cakajovce,48.37167099999985,18.035255499999778,Slovakia,SK
60,Camovce,48.25060449999984,19.889337999999782,Slovakia,SK
61,Cana,48.60967199999985,21.30957399999977,Slovakia,SK
62,Cata,47.955948499999835,18.64846099999977,Slovakia,SK
63,Cecejovce,48.58646699999986,21.068622999999775,Slovakia,SK
64,Celovce,48.61190699999983,21.62959349999977,Slovakia,SK
65,Cerencany,48.41204749999986,19.989892999999768,Slovakia,SK
66,Cermel,48.74974449999985,21.22856399999978,Slovakia,SK
67,Cerova-Lieskova,48.59660549999984,17.403539999999794,Slovakia,SK
68,Cervena Skala,48.82336349999986,20.131614999999783,Slovakia,SK
69,Ceske Brezovo,48.476965499999835,19.801643999999783,Slovakia,SK
70,Cestice,48.58638349999984,21.09790799999979,Slovakia,SK
71,Chmelnica,49.29204049999984,20.730726499999776,Slovakia,SK
72,Chotin,47.80875449999985,18.18988699999977,Slovakia,SK
73,Chrabrany,48.53100449999985,18.147348499999794,Slovakia,SK
74,Chrast nad Hornadom,48.92552999999984,20.699897499999793,Slovakia,SK
75,Chrenovec,48.778114499999845,18.712815999999776,Slovakia,SK
76,Chvatimech,48.80395099999984,19.55978399999978,Slovakia,SK
77,Chynorany,48.607822499999855,18.274667999999792,Slovakia,SK
78,Cierna nad Tisou,48.41992399999984,22.087046499999786,Slovakia,SK
79,Cierne Polesie,49.51178199999984,18.86024349999977,Slovakia,SK
80,Cierne nad Toplou,48.989839999999845,21.569398499999778,Slovakia,SK
81,Cierne pri Cadci,49.50971799999985,18.845809999999773,Slovakia,SK
